"","scenario","type","method1","method2","distance","pValue"
"97","283","IMPACT","area","center",1.4509,0.1887
"98","283","OCCURRENCE","area","center",0.2874,0.9467
"99","283","IMPACT","area","centertogrid",4.1543,0.0074
"100","283","OCCURRENCE","area","centertogrid",3.9575,0.0092
"101","283","IMPACT","area","reachedgrid",10.031,0
"102","283","OCCURRENCE","area","reachedgrid",7.0377,3e-04
"103","283","IMPACT","area","weighted",1.3344,0.2216
"104","283","OCCURRENCE","area","weighted",4.4426,0.0054
"105","283","IMPACT","area","pooling",Inf,0
"106","283","OCCURRENCE","area","pooling",Inf,0
"107","283","IMPACT","center","centertogrid",7.855,1e-04
"108","283","OCCURRENCE","center","centertogrid",4.7077,0.0038
"109","283","IMPACT","center","reachedgrid",12.049,0
"110","283","OCCURRENCE","center","reachedgrid",6.8231,4e-04
"111","283","IMPACT","center","weighted",2.4472,0.0516
"112","283","OCCURRENCE","center","weighted",3.0931,0.0237
"113","283","IMPACT","center","pooling",Inf,0
"114","283","OCCURRENCE","center","pooling",Inf,0
"115","283","IMPACT","centertogrid","reachedgrid",0.5311,0.7181
"116","283","OCCURRENCE","centertogrid","reachedgrid",0.165,0.9982
"117","283","IMPACT","centertogrid","weighted",3.6096,0.013
"118","283","OCCURRENCE","centertogrid","weighted",1.6504,0.1424
"119","283","IMPACT","centertogrid","pooling",Inf,0
"120","283","OCCURRENCE","centertogrid","pooling",Inf,0
"121","283","IMPACT","reachedgrid","weighted",6.8463,3e-04
"122","283","OCCURRENCE","reachedgrid","weighted",1.6164,0.1495
"123","283","IMPACT","reachedgrid","pooling",Inf,0
"124","283","OCCURRENCE","reachedgrid","pooling",Inf,0
"125","283","IMPACT","weighted","pooling",Inf,0
"126","283","OCCURRENCE","weighted","pooling",Inf,0
"127","284","IMPACT","classic","area",4.5972,0.0045
"128","284","OCCURRENCE","classic","area",2.9657,0.0287
"129","284","IMPACT","classic","center",8.2617,1e-04
"130","284","OCCURRENCE","classic","center",2.8723,0.031
"131","284","IMPACT","classic","centertogrid",0.6951,0.5658
"132","284","OCCURRENCE","classic","centertogrid",2.315,0.0609
"133","284","IMPACT","classic","reachedgrid",1.4968,0.1762
"134","284","OCCURRENCE","classic","reachedgrid",2.9582,0.0282
"135","284","IMPACT","classic","weighted",4.2111,0.0066
"136","284","OCCURRENCE","classic","weighted",3.7224,0.0114
"137","284","IMPACT","classic","pooling",Inf,0
"138","284","OCCURRENCE","classic","pooling",Inf,0
"139","284","IMPACT","area","center",1.4509,0.1887
"140","284","OCCURRENCE","area","center",0.2874,0.9467
"141","284","IMPACT","area","centertogrid",3.5256,0.015
"142","284","OCCURRENCE","area","centertogrid",9.2845,0
"143","284","IMPACT","area","reachedgrid",9.7387,0
"144","284","OCCURRENCE","area","reachedgrid",14.545,0
"145","284","IMPACT","area","weighted",1.6875,0.1376
"146","284","OCCURRENCE","area","weighted",6.7865,4e-04
"147","284","IMPACT","area","pooling",Inf,0
"148","284","OCCURRENCE","area","pooling",Inf,0
"149","284","IMPACT","center","centertogrid",6.757,4e-04
"150","284","OCCURRENCE","center","centertogrid",7.0905,3e-04
"151","284","IMPACT","center","reachedgrid",11.9,0
"152","284","OCCURRENCE","center","reachedgrid",10.188,0
"153","284","IMPACT","center","weighted",2.6212,0.0418
"154","284","OCCURRENCE","center","weighted",4.014,0.0082
"155","284","IMPACT","center","pooling",Inf,0
"156","284","OCCURRENCE","center","pooling",Inf,0
"157","284","IMPACT","centertogrid","reachedgrid",0.3288,0.9195
"158","284","OCCURRENCE","centertogrid","reachedgrid",0.1718,0.9975
"159","284","IMPACT","centertogrid","weighted",2.5381,0.0461
"160","284","OCCURRENCE","centertogrid","weighted",2.4191,0.0534
"161","284","IMPACT","centertogrid","pooling",Inf,0
"162","284","OCCURRENCE","centertogrid","pooling",Inf,0
"163","284","IMPACT","reachedgrid","weighted",4.4563,0.0051
"164","284","OCCURRENCE","reachedgrid","weighted",3.7366,0.0114
"165","284","IMPACT","reachedgrid","pooling",Inf,0
"166","284","OCCURRENCE","reachedgrid","pooling",Inf,0
"167","284","IMPACT","weighted","pooling",Inf,0
"168","284","OCCURRENCE","weighted","pooling",Inf,0
"169","285","IMPACT","classic","area",6.3753,6e-04
"170","285","OCCURRENCE","classic","area",17.72,0
"171","285","IMPACT","classic","center",10.678,0
"172","285","OCCURRENCE","classic","center",7.2269,2e-04
"173","285","IMPACT","classic","centertogrid",2.6996,0.0381
"174","285","OCCURRENCE","classic","centertogrid",3.2553,0.0197
"175","285","IMPACT","classic","reachedgrid",3.5496,0.0142
"176","285","OCCURRENCE","classic","reachedgrid",4.1318,0.0073
"177","285","IMPACT","classic","weighted",6.0001,9e-04
"178","285","OCCURRENCE","classic","weighted",6.8883,3e-04
"179","285","IMPACT","classic","pooling",Inf,0
"180","285","OCCURRENCE","classic","pooling",Inf,0
"181","285","IMPACT","area","center",1.4509,0.1887
"182","285","OCCURRENCE","area","center",0.2874,0.9467
"183","285","IMPACT","area","centertogrid",5.7351,0.0013
"184","285","OCCURRENCE","area","centertogrid",3.7809,0.0112
"185","285","IMPACT","area","reachedgrid",18.792,0
"186","285","OCCURRENCE","area","reachedgrid",6.2529,7e-04
"187","285","IMPACT","area","weighted",0.9597,0.3786
"188","285","OCCURRENCE","area","weighted",7.1456,3e-04
"189","285","IMPACT","area","pooling",Inf,0
"190","285","OCCURRENCE","area","pooling",Inf,0
"191","285","IMPACT","center","centertogrid",9.0394,0
"192","285","OCCURRENCE","center","centertogrid",2.4217,0.0534
"193","285","IMPACT","center","reachedgrid",17.028,0
"194","285","OCCURRENCE","center","reachedgrid",2.8419,0.0324
"195","285","IMPACT","center","weighted",2.1951,0.0705
"196","285","OCCURRENCE","center","weighted",4.9334,0.0029
"197","285","IMPACT","center","pooling",Inf,0
"198","285","OCCURRENCE","center","pooling",Inf,0
"199","285","IMPACT","centertogrid","reachedgrid",0.854,0.4441
"200","285","OCCURRENCE","centertogrid","reachedgrid",0.0261,1
"201","285","IMPACT","centertogrid","weighted",3.4477,0.0156
"202","285","OCCURRENCE","centertogrid","weighted",6.5624,4e-04
"203","285","IMPACT","centertogrid","pooling",Inf,0
"204","285","OCCURRENCE","centertogrid","pooling",Inf,0
"205","285","IMPACT","reachedgrid","weighted",7.8294,1e-04
"206","285","OCCURRENCE","reachedgrid","weighted",8.7262,0
"207","285","IMPACT","reachedgrid","pooling",Inf,0
"208","285","OCCURRENCE","reachedgrid","pooling",Inf,0
"209","285","IMPACT","weighted","pooling",Inf,0
"210","285","OCCURRENCE","weighted","pooling",Inf,0
"211","286","IMPACT","classic","area",16.803,0
"212","286","OCCURRENCE","classic","area",13.275,0
"213","286","IMPACT","classic","center",21.328,0
"214","286","OCCURRENCE","classic","center",5.2658,0.002
"215","286","IMPACT","classic","centertogrid",1.7396,0.1265
"216","286","OCCURRENCE","classic","centertogrid",0.8204,0.468
"217","286","IMPACT","classic","reachedgrid",2.2956,0.0627
"218","286","OCCURRENCE","classic","reachedgrid",0.3833,0.8708
"219","286","IMPACT","classic","weighted",4.1946,0.0067
"220","286","OCCURRENCE","classic","weighted",3.7516,0.011
"221","286","IMPACT","classic","pooling",Inf,0
"222","286","OCCURRENCE","classic","pooling",Inf,0
"223","286","IMPACT","area","center",1.4509,0.1887
"224","286","OCCURRENCE","area","center",0.2874,0.9467
"225","286","IMPACT","area","centertogrid",20.056,0
"226","286","OCCURRENCE","area","centertogrid",11.925,0
"227","286","IMPACT","area","reachedgrid",37.997,0
"228","286","OCCURRENCE","area","reachedgrid",15.542,0
"229","286","IMPACT","area","weighted",17.822,0
"230","286","OCCURRENCE","area","weighted",10.343,0
"231","286","IMPACT","area","pooling",Inf,0
"232","286","OCCURRENCE","area","pooling",Inf,0
"233","286","IMPACT","center","centertogrid",20.475,0
"234","286","OCCURRENCE","center","centertogrid",4.2854,0.0061
"235","286","IMPACT","center","reachedgrid",24.934,0
"236","286","OCCURRENCE","center","reachedgrid",4.1462,0.0072
"237","286","IMPACT","center","weighted",12.033,0
"238","286","OCCURRENCE","center","weighted",6.5631,4e-04
"239","286","IMPACT","center","pooling",Inf,0
"240","286","OCCURRENCE","center","pooling",Inf,0
"241","286","IMPACT","centertogrid","reachedgrid",0.5966,0.6539
"242","286","OCCURRENCE","centertogrid","reachedgrid",0.261,0.9689
"243","286","IMPACT","centertogrid","weighted",2.3013,0.0616
"244","286","OCCURRENCE","centertogrid","weighted",3.7273,0.0113
"245","286","IMPACT","centertogrid","pooling",Inf,0
"246","286","OCCURRENCE","centertogrid","pooling",Inf,0
"247","286","IMPACT","reachedgrid","weighted",2.3365,0.0596
"248","286","OCCURRENCE","reachedgrid","weighted",5.5898,0.0014
"249","286","IMPACT","reachedgrid","pooling",Inf,0
"250","286","OCCURRENCE","reachedgrid","pooling",Inf,0
"251","286","IMPACT","weighted","pooling",Inf,0
"252","286","OCCURRENCE","weighted","pooling",Inf,0
"253","289","IMPACT","classic","area",4.2895,0.0064
"254","289","OCCURRENCE","classic","area",4.914,0.0032
"255","289","IMPACT","classic","center",3.3018,0.0187
"256","289","OCCURRENCE","classic","center",5.7327,0.0012
"257","289","IMPACT","classic","centertogrid",0.2954,0.9485
"258","289","OCCURRENCE","classic","centertogrid",2.4215,0.0534
"259","289","IMPACT","classic","reachedgrid",0.525,0.7245
"260","289","OCCURRENCE","classic","reachedgrid",2.7911,0.0344
"261","289","IMPACT","classic","weighted",5.1383,0.0023
"262","289","OCCURRENCE","classic","weighted",2.2761,0.0636
"263","289","IMPACT","classic","pooling",Inf,0
"264","289","OCCURRENCE","classic","pooling",Inf,0
"265","289","IMPACT","area","center",1.4509,0.1887
"266","289","OCCURRENCE","area","center",0.2874,0.9467
"267","289","IMPACT","area","centertogrid",5.1775,0.0024
"268","289","OCCURRENCE","area","centertogrid",17.459,0
"269","289","IMPACT","area","reachedgrid",7.5562,2e-04
"270","289","OCCURRENCE","area","reachedgrid",27.647,0
"271","289","IMPACT","area","weighted",2.1286,0.0785
"272","289","OCCURRENCE","area","weighted",4.8591,0.0034
"273","289","IMPACT","area","pooling",Inf,0
"274","289","OCCURRENCE","area","pooling",Inf,0
"275","289","IMPACT","center","centertogrid",3.4895,0.015
"276","289","OCCURRENCE","center","centertogrid",13.016,0
"277","289","IMPACT","center","reachedgrid",6.3902,6e-04
"278","289","OCCURRENCE","center","reachedgrid",16.321,0
"279","289","IMPACT","center","weighted",0.9826,0.3662
"280","289","OCCURRENCE","center","weighted",3.2175,0.0205
"281","289","IMPACT","center","pooling",Inf,0
"282","289","OCCURRENCE","center","pooling",Inf,0
"283","289","IMPACT","centertogrid","reachedgrid",0.5752,0.6742
"284","289","OCCURRENCE","centertogrid","reachedgrid",0.1188,0.9999
"285","289","IMPACT","centertogrid","weighted",4.6042,0.0042
"286","289","OCCURRENCE","centertogrid","weighted",5.5803,0.0014
"287","289","IMPACT","centertogrid","pooling",Inf,0
"288","289","OCCURRENCE","centertogrid","pooling",Inf,0
"289","289","IMPACT","reachedgrid","weighted",10.275,0
"290","289","OCCURRENCE","reachedgrid","weighted",6.3541,6e-04
"291","289","IMPACT","reachedgrid","pooling",Inf,0
"292","289","OCCURRENCE","reachedgrid","pooling",Inf,0
"293","289","IMPACT","weighted","pooling",Inf,0
"294","289","OCCURRENCE","weighted","pooling",Inf,0
"295","295","IMPACT","classic","area",6.7662,4e-04
"296","295","OCCURRENCE","classic","area",17.463,0
"297","295","IMPACT","classic","center",9.5251,0
"298","295","OCCURRENCE","classic","center",8.3972,1e-04
"299","295","IMPACT","classic","centertogrid",2.7884,0.0343
"300","295","OCCURRENCE","classic","centertogrid",2.6693,0.0396
"301","295","IMPACT","classic","reachedgrid",3.1168,0.0235
"302","295","OCCURRENCE","classic","reachedgrid",2.7945,0.0343
"303","295","IMPACT","classic","weighted",5.5317,0.0015
"304","295","OCCURRENCE","classic","weighted",5.3907,0.0017
"305","295","IMPACT","classic","pooling",Inf,0
"306","295","OCCURRENCE","classic","pooling",Inf,0
"307","295","IMPACT","area","center",1.4509,0.1887
"308","295","OCCURRENCE","area","center",0.2874,0.9467
"309","295","IMPACT","area","centertogrid",4.9892,0.0029
"310","295","OCCURRENCE","area","centertogrid",7.6949,2e-04
"311","295","IMPACT","area","reachedgrid",7.3366,2e-04
"312","295","OCCURRENCE","area","reachedgrid",16.147,0
"313","295","IMPACT","area","weighted",3.2136,0.0215
"314","295","OCCURRENCE","area","weighted",2.439,0.0537
"315","295","IMPACT","area","pooling",Inf,0
"316","295","OCCURRENCE","area","pooling",Inf,0
"317","295","IMPACT","center","centertogrid",3.87,0.0097
"318","295","OCCURRENCE","center","centertogrid",2.9645,0.0278
"319","295","IMPACT","center","reachedgrid",7.1875,3e-04
"320","295","OCCURRENCE","center","reachedgrid",3.9737,0.0087
"321","295","IMPACT","center","weighted",4.2159,0.0065
"322","295","OCCURRENCE","center","weighted",1.5221,0.1694
"323","295","IMPACT","center","pooling",Inf,0
"324","295","OCCURRENCE","center","pooling",Inf,0
"325","295","IMPACT","centertogrid","reachedgrid",0.5839,0.6655
"326","295","OCCURRENCE","centertogrid","reachedgrid",0.3014,0.942
"327","295","IMPACT","centertogrid","weighted",3.4335,0.0159
"328","295","OCCURRENCE","centertogrid","weighted",1.8346,0.1116
"329","295","IMPACT","centertogrid","pooling",Inf,0
"330","295","OCCURRENCE","centertogrid","pooling",Inf,0
"331","295","IMPACT","reachedgrid","weighted",3.45,0.0159
"332","295","OCCURRENCE","reachedgrid","weighted",2.1317,0.0768
"333","295","IMPACT","reachedgrid","pooling",Inf,0
"334","295","OCCURRENCE","reachedgrid","pooling",Inf,0
"335","295","IMPACT","weighted","pooling",Inf,0
"336","295","OCCURRENCE","weighted","pooling",Inf,0
"337","296","IMPACT","classic","area",7.0811,3e-04
"338","296","OCCURRENCE","classic","area",5.9735,0.001
"339","296","IMPACT","classic","center",12.262,0
"340","296","OCCURRENCE","classic","center",3.9343,0.009
"341","296","IMPACT","classic","centertogrid",3.0993,0.0237
"342","296","OCCURRENCE","classic","centertogrid",3.2097,0.0208
"343","296","IMPACT","classic","reachedgrid",2.2261,0.0685
"344","296","OCCURRENCE","classic","reachedgrid",3.4943,0.0151
"345","296","IMPACT","classic","weighted",6.2121,7e-04
"346","296","OCCURRENCE","classic","weighted",5.2199,0.0021
"347","296","IMPACT","classic","pooling",Inf,0
"348","296","OCCURRENCE","classic","pooling",Inf,0
"349","296","IMPACT","area","center",1.4509,0.1887
"350","296","OCCURRENCE","area","center",0.2874,0.9467
"351","296","IMPACT","area","centertogrid",5.3067,0.002
"352","296","OCCURRENCE","area","centertogrid",4.8805,0.0033
"353","296","IMPACT","area","reachedgrid",7.9045,1e-04
"354","296","OCCURRENCE","area","reachedgrid",6.8704,4e-04
"355","296","IMPACT","area","weighted",0.4522,0.7937
"356","296","OCCURRENCE","area","weighted",0.7082,0.551
"357","296","IMPACT","area","pooling",Inf,0
"358","296","OCCURRENCE","area","pooling",Inf,0
"359","296","IMPACT","center","centertogrid",6.8054,4e-04
"360","296","OCCURRENCE","center","centertogrid",4.2544,0.0063
"361","296","IMPACT","center","reachedgrid",10.395,0
"362","296","OCCURRENCE","center","reachedgrid",5.3993,0.0018
"363","296","IMPACT","center","weighted",1.1602,0.282
"364","296","OCCURRENCE","center","weighted",0.8206,0.4679
"365","296","IMPACT","center","pooling",Inf,0
"366","296","OCCURRENCE","center","pooling",Inf,0
"367","296","IMPACT","centertogrid","reachedgrid",1.5456,0.1649
"368","296","OCCURRENCE","centertogrid","reachedgrid",0.145,0.9994
"369","296","IMPACT","centertogrid","weighted",4.0512,0.0079
"370","296","OCCURRENCE","centertogrid","weighted",3.7494,0.011
"371","296","IMPACT","centertogrid","pooling",Inf,0
"372","296","OCCURRENCE","centertogrid","pooling",Inf,0
"373","296","IMPACT","reachedgrid","weighted",6.438,5e-04
"374","296","OCCURRENCE","reachedgrid","weighted",5.0462,0.0026
"375","296","IMPACT","reachedgrid","pooling",Inf,0
"376","296","OCCURRENCE","reachedgrid","pooling",Inf,0
"377","296","IMPACT","weighted","pooling",Inf,0
"378","296","OCCURRENCE","weighted","pooling",Inf,0
"379","298","IMPACT","classic","area",23.255,0
"380","298","OCCURRENCE","classic","area",12.348,0
"381","298","IMPACT","classic","center",24.751,0
"382","298","OCCURRENCE","classic","center",11.421,0
"383","298","IMPACT","classic","centertogrid",2.5728,0.0444
"384","298","OCCURRENCE","classic","centertogrid",7.5287,2e-04
"385","298","IMPACT","classic","reachedgrid",2.4422,0.0525
"386","298","OCCURRENCE","classic","reachedgrid",6.7229,4e-04
"387","298","IMPACT","classic","weighted",4.6943,0.0038
"388","298","OCCURRENCE","classic","weighted",6.1569,7e-04
"389","298","IMPACT","classic","pooling",Inf,0
"390","298","OCCURRENCE","classic","pooling",Inf,0
"391","298","IMPACT","area","center",1.4509,0.1887
"392","298","OCCURRENCE","area","center",0.2874,0.9467
"393","298","IMPACT","area","centertogrid",16.162,0
"394","298","OCCURRENCE","area","centertogrid",50.957,0
"395","298","IMPACT","area","reachedgrid",33.943,0
"396","298","OCCURRENCE","area","reachedgrid",66.336,0
"397","298","IMPACT","area","weighted",12.985,0
"398","298","OCCURRENCE","area","weighted",47.817,0
"399","298","IMPACT","area","pooling",Inf,0
"400","298","OCCURRENCE","area","pooling",Inf,0
"401","298","IMPACT","center","centertogrid",14.406,0
"402","298","OCCURRENCE","center","centertogrid",29.542,0
"403","298","IMPACT","center","reachedgrid",21.728,0
"404","298","OCCURRENCE","center","reachedgrid",33.888,0
"405","298","IMPACT","center","weighted",9.5013,0
"406","298","OCCURRENCE","center","weighted",25.044,0
"407","298","IMPACT","center","pooling",Inf,0
"408","298","OCCURRENCE","center","pooling",Inf,0
"409","298","IMPACT","centertogrid","reachedgrid",0.5907,0.6594
"410","298","OCCURRENCE","centertogrid","reachedgrid",0.6658,0.5906
"411","298","IMPACT","centertogrid","weighted",2.0204,0.0877
"412","298","OCCURRENCE","centertogrid","weighted",4.6629,0.0039
"413","298","IMPACT","centertogrid","pooling",Inf,0
"414","298","OCCURRENCE","centertogrid","pooling",Inf,0
"415","298","IMPACT","reachedgrid","weighted",2.9222,0.0295
"416","298","OCCURRENCE","reachedgrid","weighted",3.6492,0.0125
"417","298","IMPACT","reachedgrid","pooling",Inf,0
"418","298","OCCURRENCE","reachedgrid","pooling",Inf,0
"419","298","IMPACT","weighted","pooling",Inf,0
"420","298","OCCURRENCE","weighted","pooling",Inf,0
