"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",4740,6.0257811904096,1,1.36986301369863,3,6,2,2.73972602739726
"2","Grid12","2","2",1842,2.34166433601993,0,0,2,4,2,2.73972602739726
"3","Grid13","3","3",3672,4.66807352978566,1,1.36986301369863,3,6,1,1.36986301369863
"4","Grid14","4","4",5224,6.64107192799573,2,2.73972602739726,3,6,3,4.10958904109589
"5","Grid15","5","5",4438,5.64186011034553,0,0,3,6,3,4.10958904109589
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",5972,7.59197579517429,5,6.84931506849315,3,6,5,6.84931506849315
"8","Grid23","3","3",3902,4.96046375632453,4,5.47945205479452,3,6,7,9.58904109589041
"9","Grid24","4","4",180,0.228827133813023,3,4.10958904109589,1,2,3,4.10958904109589
"10","Grid25","5","5",1056,1.34245251836973,1,1.36986301369863,2,4,5,6.84931506849315
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",0,0,3,4.10958904109589,0,0,0,0
"13","Grid33","3","3",6424,8.16658615341588,6,8.21917808219178,4,8,7,9.58904109589041
"14","Grid34","4","4",11390,14.4796725229463,8,10.958904109589,6,12,7,9.58904109589041
"15","Grid35","5","5",8059,10.2450992855508,1,1.36986301369863,4,8,4,5.47945205479452
"16","Grid41","1","1",0,0,1,1.36986301369863,0,0,0,0
"17","Grid42","2","2",374,0.475451933589281,1,1.36986301369863,1,2,0,0
"18","Grid43","3","3",7275,9.24842999160967,13,17.8082191780822,3,6,10,13.6986301369863
"19","Grid44","4","4",6541,8.31532379039434,15,20.5479452054795,2,4,3,4.10958904109589
"20","Grid45","5","5",0,0,2,2.73972602739726,0,0,1,1.36986301369863
"21","Grid51","1","1",0,0,0,0,0,0,0,0
"22","Grid52","2","2",2738,3.48071495766698,1,1.36986301369863,1,2,3,4.10958904109589
"23","Grid53","3","3",1565,1.98952480231878,2,2.73972602739726,2,4,1,1.36986301369863
"24","Grid54","4","4",1735,2.20563931758664,2,2.73972602739726,2,4,1,1.36986301369863
"25","Grid55","5","5",1535,1.95138694668328,1,1.36986301369863,2,4,5,6.84931506849315
