"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",7300,1.63475900741016,0,0,3,1.34529147982063,0,0
"2","Grid12","2","2",15703,3.5165233826523,0,0,6,2.69058295964126,3,4.76190476190476
"3","Grid13","3","3",22062,4.94055523581959,1,1.58730158730159,10,4.48430493273543,4,6.34920634920635
"4","Grid14","4","4",22210,4.9736982951479,5,7.93650793650794,11,4.93273542600897,1,1.58730158730159
"5","Grid15","5","5",36261,8.12027347502738,1,1.58730158730159,17,7.62331838565022,8,12.6984126984127
"6","Grid21","1","1",5408,1.21106530302386,0,0,3,1.34529147982063,0,0
"7","Grid22","2","2",12206,2.73340663622581,0,0,7,3.1390134529148,0,0
"8","Grid23","3","3",22882,5.12418569966566,2,3.17460317460317,14,6.2780269058296,2,3.17460317460317
"9","Grid24","4","4",38658,8.65705667239206,6,9.52380952380952,19,8.52017937219731,7,11.1111111111111
"10","Grid25","5","5",45547,10.1997765082891,8,12.6984126984127,21,9.41704035874439,8,12.6984126984127
"11","Grid31","1","1",1580,0.353824552288775,0,0,2,0.896860986547085,0,0
"12","Grid32","2","2",13766,3.08275239671346,1,1.58730158730159,6,2.69058295964126,0,0
"13","Grid33","3","3",25739,5.76398110845618,2,3.17460317460317,12,5.38116591928251,4,6.34920634920635
"14","Grid34","4","4",24603,5.50958573415235,8,12.6984126984127,18,8.07174887892377,4,6.34920634920635
"15","Grid35","5","5",38935,8.71908793883762,12,19.047619047619,19,8.52017937219731,10,15.8730158730159
"16","Grid41","1","1",4698,1.05206819408396,0,0,1,0.448430493273543,0,0
"17","Grid42","2","2",12972,2.90494436220885,0,0,3,1.34529147982063,0,0
"18","Grid43","3","3",14858,3.32729442905482,0,0,6,2.69058295964126,3,4.76190476190476
"19","Grid44","4","4",16052,3.5946782995819,10,15.8730158730159,13,5.82959641255605,3,4.76190476190476
"20","Grid45","5","5",24017,5.37835713437943,5,7.93650793650794,13,5.82959641255605,2,3.17460317460317
"21","Grid51","1","1",5210,1.16672526419273,0,0,2,0.896860986547085,0,0
"22","Grid52","2","2",6968,1.56041106351151,0,0,3,1.34529147982063,0,0
"23","Grid53","3","3",7437,1.66543873124786,1,1.58730158730159,4,1.79372197309417,1,1.58730158730159
"24","Grid54","4","4",11656,2.61023986169491,1,1.58730158730159,5,2.24215246636771,2,3.17460317460317
"25","Grid55","5","5",9821,2.19931071394181,0,0,5,2.24215246636771,1,1.58730158730159
