"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",0,0,0,0,0,0,0,0
"2","Grid12","2","2",0,0,0,0,0,0,1,1.5625
"3","Grid13","3","3",312,0.303009702137578,0,0,1,1.96078431372549,0,0
"4","Grid14","4","4",2379,2.31044897879903,1,1.5625,1,1.96078431372549,1,1.5625
"5","Grid15","5","5",0,0,0,0,0,0,0,0
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",0,0,0,0,0,0,0,0
"8","Grid23","3","3",870,0.844930900191323,0,0,1,1.96078431372549,2,3.125
"9","Grid24","4","4",1586,1.54029931919936,3,4.6875,2,3.92156862745098,2,3.125
"10","Grid25","5","5",0,0,0,0,0,0,2,3.125
"11","Grid31","1","1",602,0.584653335534686,0,0,1,1.96078431372549,0,0
"12","Grid32","2","2",4533,4.40238134547962,1,1.5625,2,3.92156862745098,3,4.6875
"13","Grid33","3","3",4938,4.79571124729282,2,3.125,3,5.88235294117647,5,7.8125
"14","Grid34","4","4",3354,3.25735429797896,8,12.5,2,3.92156862745098,6,9.375
"15","Grid35","5","5",7473,7.25766507716064,3,4.6875,2,3.92156862745098,4,6.25
"16","Grid41","1","1",0,0,0,0,0,0,0,0
"17","Grid42","2","2",1960,1.90352248778735,0,0,1,1.96078431372549,0,0
"18","Grid43","3","3",4716,4.58010819000262,8,12.5,2,3.92156862745098,2,3.125
"19","Grid44","4","4",6312,6.13011935862946,19,29.6875,5,9.80392156862745,10,15.625
"20","Grid45","5","5",7149,6.94300115571008,6,9.375,4,7.84313725490196,7,10.9375
"21","Grid51","1","1",2337,2.26965921120359,0,0,1,1.96078431372549,0,0
"22","Grid52","2","2",3321,3.22530519486826,0,0,1,1.96078431372549,0,0
"23","Grid53","3","3",10324,10.026513348937,3,4.6875,5,9.80392156862745,3,4.6875
"24","Grid54","4","4",16730,16.2479240921849,4,6.25,8,15.6862745098039,7,10.9375
"25","Grid55","5","5",24071,23.3773927569027,6,9.375,9,17.6470588235294,9,14.0625
