"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",1862,1.83616515625154,0,0,1,1.92307692307692,2,2.89855072463768
"2","Grid12","2","2",0,0,0,0,0,0,1,1.44927536231884
"3","Grid13","3","3",0,0,1,1.44927536231884,0,0,2,2.89855072463768
"4","Grid14","4","4",0,0,0,0,0,0,1,1.44927536231884
"5","Grid15","5","5",0,0,1,1.44927536231884,0,0,1,1.44927536231884
"6","Grid21","1","1",1757,1.73262200834262,0,0,2,3.84615384615385,0,0
"7","Grid22","2","2",6315,6.22738075280799,0,0,3,5.76923076923077,3,4.34782608695652
"8","Grid23","3","3",5319,5.24520003550051,0,0,2,3.84615384615385,2,2.89855072463768
"9","Grid24","4","4",4461,4.39910459830189,5,7.2463768115942,2,3.84615384615385,5,7.2463768115942
"10","Grid25","5","5",1950,1.9229441754514,0,0,1,1.92307692307692,2,2.89855072463768
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",3534,3.48496652104884,3,4.34782608695652,4,7.69230769230769,1,1.44927536231884
"13","Grid33","3","3",15750,15.5314721863382,15,21.7391304347826,6,11.5384615384615,10,14.4927536231884
"14","Grid34","4","4",11629,11.4676501622176,10,14.4927536231884,6,11.5384615384615,8,11.5942028985507
"15","Grid35","5","5",6932,6.83582001242518,2,2.89855072463768,3,5.76923076923077,2,2.89855072463768
"16","Grid41","1","1",0,0,1,1.44927536231884,0,0,0,0
"17","Grid42","2","2",600,0.591675130908123,0,0,1,1.92307692307692,3,4.34782608695652
"18","Grid43","3","3",4483,4.42079935310186,13,18.8405797101449,3,5.76923076923077,6,8.69565217391304
"19","Grid44","4","4",11947,11.7812379815989,10,14.4927536231884,5,9.61538461538461,11,15.9420289855072
"20","Grid45","5","5",1380,1.36085280108868,1,1.44927536231884,1,1.92307692307692,0,0
"21","Grid51","1","1",1896,1.86969341366967,0,0,1,1.92307692307692,0,0
"22","Grid52","2","2",4188,4.1298924137387,2,2.89855072463768,2,3.84615384615385,0,0
"23","Grid53","3","3",5200,5.12785113453706,2,2.89855072463768,2,3.84615384615385,2,2.89855072463768
"24","Grid54","4","4",6064,5.97986332304476,1,1.44927536231884,4,7.69230769230769,1,1.44927536231884
"25","Grid55","5","5",6140,6.05480883962646,2,2.89855072463768,3,5.76923076923077,6,8.69565217391304
