"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",3912,8.45015660438492,0,0,2,6.45161290322581,1,1.51515151515152
"2","Grid12","2","2",2673,5.77384166756669,1,1.51515151515152,1,3.2258064516129,1,1.51515151515152
"3","Grid13","3","3",2112,4.56204773733664,0,0,1,3.2258064516129,1,1.51515151515152
"4","Grid14","4","4",2237,4.83205529754833,1,1.51515151515152,2,6.45161290322581,2,3.03030303030303
"5","Grid15","5","5",5032,10.8694243438816,4,6.06060606060606,4,12.9032258064516,9,13.6363636363636
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",0,0,1,1.51515151515152,0,0,0,0
"8","Grid23","3","3",0,0,2,3.03030303030303,0,0,4,6.06060606060606
"9","Grid24","4","4",4488,9.69435144184037,5,7.57575757575758,2,6.45161290322581,12,18.1818181818182
"10","Grid25","5","5",1485,3.20768981531483,7,10.6060606060606,1,3.2258064516129,6,9.09090909090909
"11","Grid31","1","1",1155,2.49486985635598,1,1.51515151515152,1,3.2258064516129,1,1.51515151515152
"12","Grid32","2","2",66,0.14256399179177,3,4.54545454545454,1,3.2258064516129,1,1.51515151515152
"13","Grid33","3","3",600,1.29603628901609,4,6.06060606060606,2,6.45161290322581,7,10.6060606060606
"14","Grid34","4","4",4308,9.30554055513554,18,27.2727272727273,3,9.67741935483871,5,7.57575757575758
"15","Grid35","5","5",1728,3.73258451236635,6,9.09090909090909,1,3.2258064516129,6,9.09090909090909
"16","Grid41","1","1",752,1.6243654822335,0,0,1,3.2258064516129,1,1.51515151515152
"17","Grid42","2","2",1536,3.3178528998812,0,0,2,6.45161290322581,0,0
"18","Grid43","3","3",5832,12.5974727292364,1,1.51515151515152,1,3.2258064516129,1,1.51515151515152
"19","Grid44","4","4",3327,7.18652122259423,10,15.1515151515152,2,6.45161290322581,2,3.03030303030303
"20","Grid45","5","5",273,0.589696511502322,1,1.51515151515152,1,3.2258064516129,3,4.54545454545454
"21","Grid51","1","1",0,0,0,0,0,0,0,0
"22","Grid52","2","2",0,0,0,0,0,0,0,0
"23","Grid53","3","3",1947,4.20563775785722,1,1.51515151515152,1,3.2258064516129,2,3.03030303030303
"24","Grid54","4","4",1728,3.73258451236635,0,0,1,3.2258064516129,1,1.51515151515152
"25","Grid55","5","5",1104,2.38470677178961,0,0,1,3.2258064516129,0,0
