"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",6179,1.08752087832403,0,0,4,1.43884892086331,0,0
"2","Grid12","2","2",18839,3.31571545990394,0,0,7,2.51798561151079,2,3.17460317460317
"3","Grid13","3","3",4641,0.81682867718107,0,0,9,3.23741007194245,0,0
"4","Grid14","4","4",13769,2.4233816108826,1,1.58730158730159,9,3.23741007194245,3,4.76190476190476
"5","Grid15","5","5",7203,1.26774767544392,0,0,6,2.15827338129496,0,0
"6","Grid21","1","1",8410,1.48018297243973,0,0,4,1.43884892086331,0,0
"7","Grid22","2","2",31550,5.55288618079353,2,3.17460317460317,9,3.23741007194245,2,3.17460317460317
"8","Grid23","3","3",40028,7.0450373389795,4,6.34920634920635,23,8.27338129496403,5,7.93650793650794
"9","Grid24","4","4",51131,8.99919566751676,3,4.76190476190476,23,8.27338129496403,7,11.1111111111111
"10","Grid25","5","5",23002,4.04841483139818,0,0,16,5.75539568345324,0,0
"11","Grid31","1","1",10093,1.77639556965924,0,0,6,2.15827338129496,0,0
"12","Grid32","2","2",40645,7.1536310243535,6,9.52380952380952,13,4.67625899280575,6,9.52380952380952
"13","Grid33","3","3",56270,9.9036737050159,16,25.3968253968254,29,10.431654676259,11,17.4603174603175
"14","Grid34","4","4",67573,11.8930325798656,10,15.8730158730159,27,9.71223021582734,13,20.6349206349206
"15","Grid35","5","5",34348,6.0453418237051,0,0,17,6.11510791366906,3,4.76190476190476
"16","Grid41","1","1",9375,1.65002560839744,1,1.58730158730159,5,1.79856115107914,0,0
"17","Grid42","2","2",26046,4.58416714627411,0,0,8,2.87769784172662,0,0
"18","Grid43","3","3",29333,5.1626881249197,9,14.2857142857143,14,5.03597122302158,4,6.34920634920635
"19","Grid44","4","4",38405,6.75938490565374,9,14.2857142857143,18,6.47482014388489,4,6.34920634920635
"20","Grid45","5","5",19391,3.41286896772638,0,0,12,4.31654676258993,0,0
"21","Grid51","1","1",4467,0.786204201889213,0,0,4,1.43884892086331,1,1.58730158730159
"22","Grid52","2","2",6876,1.21019478222302,0,0,4,1.43884892086331,0,0
"23","Grid53","3","3",5661,0.996351463374712,1,1.58730158730159,3,1.07913669064748,0,0
"24","Grid54","4","4",9911,1.74436307251489,1,1.58730158730159,4,1.43884892086331,1,1.58730158730159
"25","Grid55","5","5",5027,0.884765731564154,0,0,4,1.43884892086331,0,0
