"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",7859,1.40318989574722,0,0,4,1.50375939849624,1,1.47058823529412
"2","Grid12","2","2",13808,2.46535768933422,0,0,5,1.8796992481203,1,1.47058823529412
"3","Grid13","3","3",15848,2.82959071991373,0,0,9,3.38345864661654,2,2.94117647058824
"4","Grid14","4","4",14293,2.55195230689847,0,0,7,2.63157894736842,2,2.94117647058824
"5","Grid15","5","5",16714,2.98421121230679,1,1.47058823529412,5,1.8796992481203,3,4.41176470588235
"6","Grid21","1","1",10151,1.81241641833949,0,0,5,1.8796992481203,0,0
"7","Grid22","2","2",23772,4.24438607987059,0,0,7,2.63157894736842,3,4.41176470588235
"8","Grid23","3","3",24339,4.34562143689931,1,1.47058823529412,9,3.38345864661654,1,1.47058823529412
"9","Grid24","4","4",19028,3.39736573817001,0,0,7,2.63157894736842,1,1.47058823529412
"10","Grid25","5","5",11796,2.10612393564502,1,1.47058823529412,4,1.50375939849624,1,1.47058823529412
"11","Grid31","1","1",7257,1.29570544260562,0,0,3,1.12781954887218,0,0
"12","Grid32","2","2",30667,5.47545801410867,1,1.47058823529412,9,3.38345864661654,2,2.94117647058824
"13","Grid33","3","3",47901,8.55251294009259,6,8.82352941176471,15,5.6390977443609,10,14.7058823529412
"14","Grid34","4","4",22011,3.92996727259093,4,5.88235294117647,11,4.13533834586466,0,0
"15","Grid35","5","5",15154,2.7056800712754,3,4.41176470588235,8,3.00751879699248,0,0
"16","Grid41","1","1",5196,0.927722954358387,0,0,6,2.25563909774436,0,0
"17","Grid42","2","2",20635,3.68428852255299,1,1.47058823529412,11,4.13533834586466,0,0
"18","Grid43","3","3",42860,7.65246455423412,7,10.2941176470588,22,8.27067669172932,3,4.41176470588235
"19","Grid44","4","4",41127,7.34304502384477,17,25,26,9.77443609022556,9,13.2352941176471
"20","Grid45","5","5",32671,5.83326340297207,7,10.2941176470588,19,7.14285714285714,2,2.94117647058824
"21","Grid51","1","1",10356,1.84901826700067,1,1.47058823529412,6,2.25563909774436,1,1.47058823529412
"22","Grid52","2","2",22410,4.0012069682778,1,1.47058823529412,9,3.38345864661654,2,2.94117647058824
"23","Grid53","3","3",35356,6.31265834763186,2,2.94117647058824,16,6.01503759398496,8,11.7647058823529
"24","Grid54","4","4",28714,5.12675845100976,6,8.82352941176471,24,9.02255639097744,4,5.88235294117647
"25","Grid55","5","5",40158,7.1700343343195,9,13.2352941176471,19,7.14285714285714,11,16.1764705882353
