"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",8195,7.76593224354418,2,2.89855072463768,4,6.89655172413793,4,5.79710144927536
"2","Grid12","2","2",1271,1.20445392087183,0,0,2,3.44827586206897,2,2.89855072463768
"3","Grid13","3","3",0,0,0,0,0,0,1,1.44927536231884
"4","Grid14","4","4",0,0,0,0,0,0,0,0
"5","Grid15","5","5",0,0,0,0,0,0,0,0
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",0,0,0,0,0,0,1,1.44927536231884
"8","Grid23","3","3",0,0,0,0,0,0,1,1.44927536231884
"9","Grid24","4","4",0,0,1,1.44927536231884,0,0,2,2.89855072463768
"10","Grid25","5","5",0,0,0,0,0,0,0,0
"11","Grid31","1","1",325,0.307983890073442,0,0,1,1.72413793103448,0,0
"12","Grid32","2","2",5427,5.14285714285714,2,2.89855072463768,2,3.44827586206897,1,1.44927536231884
"13","Grid33","3","3",22756,21.5645581615731,6,8.69565217391304,8,13.7931034482759,13,18.8405797101449
"14","Grid34","4","4",9333,8.84434968017058,7,10.1449275362319,8,13.7931034482759,2,2.89855072463768
"15","Grid35","5","5",8599,8.14877990997394,1,1.44927536231884,3,5.17241379310345,5,7.2463768115942
"16","Grid41","1","1",0,0,0,0,0,0,0,0
"17","Grid42","2","2",0,0,1,1.44927536231884,0,0,2,2.89855072463768
"18","Grid43","3","3",126,0.119402985074627,4,5.79710144927536,1,1.72413793103448,2,2.89855072463768
"19","Grid44","4","4",4797,4.54584221748401,30,43.4782608695652,2,3.44827586206897,6,8.69565217391304
"20","Grid45","5","5",6266,5.93792940061597,3,4.34782608695652,4,6.89655172413793,4,5.79710144927536
"21","Grid51","1","1",1519,1.43946932006634,0,0,1,1.72413793103448,0,0
"22","Grid52","2","2",2511,2.37953091684435,2,2.89855072463768,1,1.72413793103448,1,1.44927536231884
"23","Grid53","3","3",5824,5.51907131011609,2,2.89855072463768,4,6.89655172413793,7,10.1449275362319
"24","Grid54","4","4",11320,10.7273158019427,1,1.44927536231884,8,13.7931034482759,5,7.2463768115942
"25","Grid55","5","5",17256,16.3525230987918,7,10.1449275362319,9,15.5172413793103,10,14.4927536231884
