"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",6848,1.24142081772795,1,1.58730158730159,3,1.20967741935484,1,1.58730158730159
"2","Grid12","2","2",11816,2.14203101376657,0,0,4,1.61290322580645,0,0
"3","Grid13","3","3",29108,5.27676360432612,0,0,8,3.2258064516129,5,7.93650793650794
"4","Grid14","4","4",25824,4.68143270984326,2,3.17460317460317,13,5.24193548387097,3,4.76190476190476
"5","Grid15","5","5",18023,3.26724991207811,3,4.76190476190476,7,2.82258064516129,2,3.17460317460317
"6","Grid21","1","1",7154,1.29689318487526,0,0,4,1.61290322580645,1,1.58730158730159
"7","Grid22","2","2",17589,3.18857341749664,0,0,9,3.62903225806452,0,0
"8","Grid23","3","3",36181,6.55897292730945,3,4.76190476190476,22,8.87096774193548,4,6.34920634920635
"9","Grid24","4","4",29312,5.31374518242432,5,7.93650793650794,23,9.2741935483871,6,9.52380952380952
"10","Grid25","5","5",14890,2.69929263667775,2,3.17460317460317,8,3.2258064516129,4,6.34920634920635
"11","Grid31","1","1",9025,1.63607226635438,1,1.58730158730159,3,1.20967741935484,0,0
"12","Grid32","2","2",25441,4.61200160978634,1,1.58730158730159,10,4.03225806451613,2,3.17460317460317
"13","Grid33","3","3",59566,10.7982582401845,8,12.6984126984127,20,8.06451612903226,7,11.1111111111111
"14","Grid34","4","4",56914,10.3174977249078,17,26.984126984127,26,10.4838709677419,9,14.2857142857143
"15","Grid35","5","5",23682,4.29312613981212,3,4.76190476190476,14,5.64516129032258,4,6.34920634920635
"16","Grid41","1","1",12359,2.24046727311621,0,0,4,1.61290322580645,1,1.58730158730159
"17","Grid42","2","2",22050,3.99727351502649,0,0,7,2.82258064516129,3,4.76190476190476
"18","Grid43","3","3",34399,6.2359279656869,9,14.2857142857143,12,4.83870967741935,1,1.58730158730159
"19","Grid44","4","4",28812,5.22310405963461,3,4.76190476190476,17,6.85483870967742,6,9.52380952380952
"20","Grid45","5","5",13176,2.3885748677546,1,1.58730158730159,11,4.43548387096774,0,0
"21","Grid51","1","1",7383,1.33840681911295,0,0,2,0.806451612903226,0,0
"22","Grid52","2","2",14689,2.66285490531628,0,0,6,2.41935483870968,1,1.58730158730159
"23","Grid53","3","3",20484,3.71338551844909,2,3.17460317460317,7,2.82258064516129,2,3.17460317460317
"24","Grid54","4","4",13085,2.37207818340687,2,3.17460317460317,5,2.01612903225806,0,0
"25","Grid55","5","5",13816,2.50459550492544,0,0,3,1.20967741935484,1,1.58730158730159
