"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",2190,1.99686337442556,0,0,2,2.94117647058824,1,1.38888888888889
"2","Grid12","2","2",4376,3.99007950981107,0,0,3,4.41176470588235,1,1.38888888888889
"3","Grid13","3","3",8051,7.34098037785397,1,1.38888888888889,2,2.94117647058824,3,4.16666666666667
"4","Grid14","4","4",4376,3.99007950981107,2,2.77777777777778,2,2.94117647058824,0,0
"5","Grid15","5","5",1924,1.75432197826246,0,0,1,1.47058823529412,2,2.77777777777778
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",2440,2.22481581442848,1,1.38888888888889,2,2.94117647058824,3,4.16666666666667
"8","Grid23","3","3",6963,6.34893135896127,2,2.77777777777778,3,4.41176470588235,7,9.72222222222222
"9","Grid24","4","4",7731,7.04920125465023,4,5.55555555555556,5,7.35294117647059,3,4.16666666666667
"10","Grid25","5","5",8349,7.61269968633744,0,0,3,4.41176470588235,4,5.55555555555556
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",3308,3.01626668611861,3,4.16666666666667,3,4.41176470588235,1,1.38888888888889
"13","Grid33","3","3",11258,10.2651542782114,6,8.33333333333333,8,11.7647058823529,13,18.0555555555556
"14","Grid34","4","4",12608,11.4960974542272,14,19.4444444444444,6,8.82352941176471,9,12.5
"15","Grid35","5","5",2293,2.09077977970676,5,6.94444444444444,3,4.41176470588235,5,6.94444444444444
"16","Grid41","1","1",0,0,0,0,0,0,0,0
"17","Grid42","2","2",0,0,2,2.77777777777778,0,0,0,0
"18","Grid43","3","3",403,0.367459333284703,10,13.8888888888889,1,1.47058823529412,2,2.77777777777778
"19","Grid44","4","4",5807,5.29487927638777,15,20.8333333333333,5,7.35294117647059,7,9.72222222222222
"20","Grid45","5","5",7736,7.05376030345029,2,2.77777777777778,5,7.35294117647059,2,2.77777777777778
"21","Grid51","1","1",1904,1.73608578306222,1,1.38888888888889,1,1.47058823529412,0,0
"22","Grid52","2","2",3321,3.02812021299876,0,0,3,4.41176470588235,3,4.16666666666667
"23","Grid53","3","3",2628,2.39623604931067,2,2.77777777777778,2,2.94117647058824,2,2.77777777777778
"24","Grid54","4","4",5577,5.08516303158509,0,0,4,5.88235294117647,3,4.16666666666667
"25","Grid55","5","5",6429,5.86202494711503,2,2.77777777777778,4,5.88235294117647,1,1.38888888888889
