"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",6934,1.38147854464602,0,0,4,1.68776371308017,1,1.47058823529412
"2","Grid12","2","2",11040,2.19952742037671,0,0,4,1.68776371308017,3,4.41176470588235
"3","Grid13","3","3",12714,2.5330427194447,0,0,4,1.68776371308017,0,0
"4","Grid14","4","4",10578,2.10748197941529,0,0,5,2.10970464135021,0,0
"5","Grid15","5","5",9283,1.84947581914465,0,0,3,1.26582278481013,1,1.47058823529412
"6","Grid21","1","1",6513,1.29760163848854,0,0,4,1.68776371308017,1,1.47058823529412
"7","Grid22","2","2",14748,2.93828173874236,2,2.94117647058824,8,3.37552742616034,0,0
"8","Grid23","3","3",23412,4.66443260560322,1,1.47058823529412,8,3.37552742616034,2,2.94117647058824
"9","Grid24","4","4",18318,3.64954196435331,0,0,9,3.79746835443038,3,4.41176470588235
"10","Grid25","5","5",16045,3.19668636412539,1,1.47058823529412,6,2.53164556962025,2,2.94117647058824
"11","Grid31","1","1",7584,1.51097970617183,0,0,2,0.843881856540084,1,1.47058823529412
"12","Grid32","2","2",16669,3.32100747919016,2,2.94117647058824,7,2.9535864978903,1,1.47058823529412
"13","Grid33","3","3",40092,7.9876316429115,8,11.7647058823529,15,6.32911392405063,7,10.2941176470588
"14","Grid34","4","4",22816,4.54569000211186,3,4.41176470588235,16,6.75105485232068,3,4.41176470588235
"15","Grid35","5","5",18528,3.69138080115396,2,2.94117647058824,9,3.79746835443038,7,10.2941176470588
"16","Grid41","1","1",4779,0.95213238604894,0,0,1,0.421940928270042,0,0
"17","Grid42","2","2",14071,2.80340129819934,0,0,6,2.53164556962025,0,0
"18","Grid43","3","3",33913,6.75657367819161,10,14.7058823529412,16,6.75105485232068,3,4.41176470588235
"19","Grid44","4","4",39375,7.84478190012074,14,20.5882352941176,22,9.28270042194093,5,7.35294117647059
"20","Grid45","5","5",21808,4.34486358546877,10,14.7058823529412,18,7.59493670886076,3,4.41176470588235
"21","Grid51","1","1",7306,1.45559305555002,0,0,3,1.26582278481013,0,0
"22","Grid52","2","2",19109,3.8071349163024,0,0,7,2.9535864978903,1,1.47058823529412
"23","Grid53","3","3",32456,6.46629184381761,2,2.94117647058824,16,6.75105485232068,6,8.82352941176471
"24","Grid54","4","4",42167,8.40103919701311,6,8.82352941176471,22,9.28270042194093,5,7.35294117647059
"25","Grid55","5","5",51668,10.293947713408,7,10.2941176470588,22,9.28270042194093,13,19.1176470588235
