"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",8829,1.96003560875656,0,0,3,1.49253731343284,1,1.85185185185185
"2","Grid12","2","2",9235,2.05016749879565,0,0,4,1.99004975124378,1,1.85185185185185
"3","Grid13","3","3",12103,2.68686272202748,0,0,7,3.48258706467662,2,3.7037037037037
"4","Grid14","4","4",13359,2.96569438185285,1,1.85185185185185,10,4.97512437810945,4,7.40740740740741
"5","Grid15","5","5",6439,1.42945625606337,3,5.55555555555556,6,2.98507462686567,1,1.85185185185185
"6","Grid21","1","1",4478,0.99411478717996,0,0,3,1.49253731343284,0,0
"7","Grid22","2","2",13706,3.04272828787149,1,1.85185185185185,5,2.48756218905473,1,1.85185185185185
"8","Grid23","3","3",19855,4.40780462247836,2,3.7037037037037,9,4.47761194029851,2,3.7037037037037
"9","Grid24","4","4",36474,8.09721812139389,7,12.962962962963,19,9.45273631840796,6,11.1111111111111
"10","Grid25","5","5",33944,7.53555880661826,3,5.55555555555556,20,9.95024875621891,4,7.40740740740741
"11","Grid31","1","1",1474,0.327227600782327,0,0,1,0.497512437810945,0,0
"12","Grid32","2","2",8628,1.91541366319533,0,0,6,2.98507462686567,0,0
"13","Grid33","3","3",23938,5.31422951663999,3,5.55555555555556,11,5.4726368159204,5,9.25925925925926
"14","Grid34","4","4",26859,5.96269072551731,13,24.0740740740741,14,6.96517412935323,2,3.7037037037037
"15","Grid35","5","5",35742,7.93471431964853,4,7.40740740740741,12,5.97014925373134,7,12.962962962963
"16","Grid41","1","1",9031,2.00487955404694,0,0,2,0.995024875621891,0,0
"17","Grid42","2","2",18981,4.21377685919223,0,0,6,2.98507462686567,1,1.85185185185185
"18","Grid43","3","3",31135,6.91196156740689,1,1.85185185185185,9,4.47761194029851,2,3.7037037037037
"19","Grid44","4","4",35127,7.79818448621493,12,22.2222222222222,13,6.46766169154229,8,14.8148148148148
"20","Grid45","5","5",31254,6.93837953517697,1,1.85185185185185,12,5.97014925373134,1,1.85185185185185
"21","Grid51","1","1",7193,1.59684405185026,0,0,3,1.49253731343284,0,0
"22","Grid52","2","2",12373,2.74680264890077,0,0,5,2.48756218905473,0,0
"23","Grid53","3","3",14859,3.29869397559335,0,0,6,2.98507462686567,2,3.7037037037037
"24","Grid54","4","4",15932,3.53689968498238,3,5.55555555555556,7,3.48258706467662,2,3.7037037037037
"25","Grid55","5","5",19503,4.32966071781392,0,0,8,3.98009950248756,1,1.85185185185185
