"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",0,0,0,0,0,0,0,0
"2","Grid12","2","2",0,0,0,0,0,0,0,0
"3","Grid13","3","3",225,0.456778594340006,0,0,1,2.85714285714286,0,0
"4","Grid14","4","4",8555,17.36773722035,2,3.125,6,17.1428571428571,4,6.25
"5","Grid15","5","5",12730,25.8435178042145,5,7.8125,7,20,11,17.1875
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",304,0.617158634130497,1,1.5625,1,2.85714285714286,0,0
"8","Grid23","3","3",2014,4.08867595111454,0,0,1,2.85714285714286,4,6.25
"9","Grid24","4","4",2743,5.56863859677616,3,4.6875,2,5.71428571428571,7,10.9375
"10","Grid25","5","5",2850,5.78586219497341,7,10.9375,3,8.57142857142857,7,10.9375
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",0,0,0,0,0,0,0,0
"13","Grid33","3","3",0,0,4,6.25,0,0,5,7.8125
"14","Grid34","4","4",3967,8.05351414998579,13,20.3125,3,8.57142857142857,4,6.25
"15","Grid35","5","5",5912,12.0021113321694,10,15.625,3,8.57142857142857,9,14.0625
"16","Grid41","1","1",1634,3.31722765845142,0,0,1,2.85714285714286,1,1.5625
"17","Grid42","2","2",0,0,0,0,0,0,1,1.5625
"18","Grid43","3","3",0,0,4,6.25,0,0,0,0
"19","Grid44","4","4",2226,4.51906289333712,4,6.25,2,5.71428571428571,2,3.125
"20","Grid45","5","5",4873,9.89280928986155,6,9.375,3,8.57142857142857,5,7.8125
"21","Grid51","1","1",0,0,0,0,0,0,0,0
"22","Grid52","2","2",0,0,0,0,0,0,1,1.5625
"23","Grid53","3","3",0,0,0,0,0,0,1,1.5625
"24","Grid54","4","4",280,0.568435584067563,3,4.6875,1,2.85714285714286,0,0
"25","Grid55","5","5",945,1.91847009622802,2,3.125,1,2.85714285714286,2,3.125
