"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",2052,3.48132941994809,0,0,1,2.77777777777778,1,1.78571428571429
"2","Grid12","2","2",1578,2.67716268259166,0,0,2,5.55555555555556,0,0
"3","Grid13","3","3",2658,4.5094413246696,1,1.78571428571429,2,5.55555555555556,3,5.35714285714286
"4","Grid14","4","4",3156,5.35432536518331,0,0,4,11.1111111111111,4,7.14285714285714
"5","Grid15","5","5",561,0.951766961301597,0,0,2,5.55555555555556,1,1.78571428571429
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",4536,7.69557029672735,1,1.78571428571429,1,2.77777777777778,4,7.14285714285714
"8","Grid23","3","3",4176,7.08481074936803,2,3.57142857142857,1,2.77777777777778,2,3.57142857142857
"9","Grid24","4","4",4261,7.22901786471676,3,5.35714285714286,3,8.33333333333333,6,10.7142857142857
"10","Grid25","5","5",1876,3.18273586346131,2,3.57142857142857,2,5.55555555555556,3,5.35714285714286
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",1680,2.85021122101013,2,3.57142857142857,1,2.77777777777778,1,1.78571428571429
"13","Grid33","3","3",5622,9.53802826459461,10,17.8571428571429,2,5.55555555555556,9,16.0714285714286
"14","Grid34","4","4",4983,8.45393006803183,13,23.2142857142857,3,8.33333333333333,5,8.92857142857143
"15","Grid35","5","5",4748,8.05523980795005,2,3.57142857142857,2,5.55555555555556,5,8.92857142857143
"16","Grid41","1","1",0,0,1,1.78571428571429,0,0,0,0
"17","Grid42","2","2",1015,1.72200261269362,1,1.78571428571429,1,2.77777777777778,0,0
"18","Grid43","3","3",1435,2.43455541794615,9,16.0714285714286,1,2.77777777777778,4,7.14285714285714
"19","Grid44","4","4",252,0.427531683151519,6,10.7142857142857,1,2.77777777777778,1,1.78571428571429
"20","Grid45","5","5",1778,3.01647354223572,1,1.78571428571429,2,5.55555555555556,5,8.92857142857143
"21","Grid51","1","1",2368,4.01744057818571,0,0,1,2.77777777777778,0,0
"22","Grid52","2","2",2592,4.39746874098706,0,0,1,2.77777777777778,0,0
"23","Grid53","3","3",2592,4.39746874098706,0,0,1,2.77777777777778,1,1.78571428571429
"24","Grid54","4","4",2592,4.39746874098706,0,0,1,2.77777777777778,0,0
"25","Grid55","5","5",2432,4.12602005327181,2,3.57142857142857,1,2.77777777777778,1,1.78571428571429
