"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",19179,2.69475843560976,0,0,5,1.68918918918919,2,2.94117647058824
"2","Grid12","2","2",20862,2.93122949495233,0,0,8,2.7027027027027,1,1.47058823529412
"3","Grid13","3","3",18659,2.62169548203986,1,1.47058823529412,8,2.7027027027027,1,1.47058823529412
"4","Grid14","4","4",16493,2.31736017928525,2,2.94117647058824,8,2.7027027027027,1,1.47058823529412
"5","Grid15","5","5",17942,2.52095290952137,1,1.47058823529412,6,2.02702702702703,3,4.41176470588235
"6","Grid21","1","1",17505,2.45955192738666,0,0,4,1.35135135135135,0,0
"7","Grid22","2","2",26758,3.75965098389102,0,0,11,3.71621621621622,2,2.94117647058824
"8","Grid23","3","3",45127,6.34059981874767,2,2.94117647058824,18,6.08108108108108,7,10.2941176470588
"9","Grid24","4","4",25109,3.52795711766648,4,5.88235294117647,18,6.08108108108108,1,1.47058823529412
"10","Grid25","5","5",21747,3.0555770217011,1,1.47058823529412,12,4.05405405405405,2,2.94117647058824
"11","Grid31","1","1",15662,2.20059995925335,0,0,4,1.35135135135135,1,1.47058823529412
"12","Grid32","2","2",28710,4.03391807113803,2,2.94117647058824,10,3.37837837837838,0,0
"13","Grid33","3","3",61280,8.6101880668526,9,13.2352941176471,24,8.10810810810811,10,14.7058823529412
"14","Grid34","4","4",58692,8.24655936716242,9,13.2352941176471,28,9.45945945945946,7,10.2941176470588
"15","Grid35","5","5",49968,7.02078781534744,5,7.35294117647059,20,6.75675675675676,9,13.2352941176471
"16","Grid41","1","1",10839,1.52294106489255,0,0,3,1.01351351351351,0,0
"17","Grid42","2","2",19290,2.71035456608333,0,0,7,2.36486486486486,0,0
"18","Grid43","3","3",36999,5.19856965217819,6,8.82352941176471,16,5.40540540540541,5,7.35294117647059
"19","Grid44","4","4",45376,6.37558573305326,13,19.1176470588235,20,6.75675675675676,4,5.88235294117647
"20","Grid45","5","5",37051,5.20587594753518,4,5.88235294117647,18,6.08108108108108,3,4.41176470588235
"21","Grid51","1","1",11947,1.67862135826841,0,0,4,1.35135135135135,0,0
"22","Grid52","2","2",18726,2.63110936259598,0,0,7,2.36486486486486,0,0
"23","Grid53","3","3",24193,3.39925391483951,2,2.94117647058824,11,3.71621621621622,2,2.94117647058824
"24","Grid54","4","4",32470,4.56221942772037,4,5.88235294117647,13,4.39189189189189,3,4.41176470588235
"25","Grid55","5","5",31131,4.37408232227788,3,4.41176470588235,13,4.39189189189189,4,5.88235294117647
