"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",15822,2.72448315407743,1,1.38888888888889,5,1.8450184501845,3,4.16666666666667
"2","Grid12","2","2",19240,3.31304865911071,1,1.38888888888889,7,2.5830258302583,1,1.38888888888889
"3","Grid13","3","3",18946,3.26242307149228,1,1.38888888888889,9,3.3210332103321,1,1.38888888888889
"4","Grid14","4","4",21715,3.73923345283727,4,5.55555555555556,10,3.690036900369,1,1.38888888888889
"5","Grid15","5","5",19068,3.28343096839517,0,0,10,3.690036900369,3,4.16666666666667
"6","Grid21","1","1",8391,1.44489559764023,1,1.38888888888889,4,1.4760147601476,0,0
"7","Grid22","2","2",25802,4.44299799908392,3,4.16666666666667,10,3.690036900369,1,1.38888888888889
"8","Grid23","3","3",38520,6.63298515327155,2,2.77777777777778,17,6.27306273062731,4,5.55555555555556
"9","Grid24","4","4",45972,7.91618882311006,3,4.16666666666667,19,7.01107011070111,7,9.72222222222222
"10","Grid25","5","5",23318,4.01526344247108,1,1.38888888888889,12,4.4280442804428,3,4.16666666666667
"11","Grid31","1","1",7259,1.24996986572166,0,0,6,2.2140221402214,0,0
"12","Grid32","2","2",32916,5.66799946274887,1,1.38888888888889,15,5.53505535055351,4,5.55555555555556
"13","Grid33","3","3",51871,8.93197229712743,11,15.2777777777778,25,9.22509225092251,9,12.5
"14","Grid34","4","4",64530,11.1117998946161,9,12.5,28,10.3321033210332,10,13.8888888888889
"15","Grid35","5","5",29209,5.02966934947842,5,6.94444444444444,16,5.90405904059041,3,4.16666666666667
"16","Grid41","1","1",2997,0.516071041130707,0,0,2,0.738007380073801,0,0
"17","Grid42","2","2",15920,2.74135834995024,4,5.55555555555556,8,2.9520295202952,0,0
"18","Grid43","3","3",35532,6.11846387502712,5,6.94444444444444,12,4.4280442804428,4,5.55555555555556
"19","Grid44","4","4",42806,7.37101667889257,10,13.8888888888889,14,5.16605166051661,5,6.94444444444444
"20","Grid45","5","5",13542,2.33187655622023,1,1.38888888888889,8,2.9520295202952,2,2.77777777777778
"21","Grid51","1","1",2043,0.351796175185197,0,0,2,0.738007380073801,0,0
"22","Grid52","2","2",10037,1.72833000995292,0,0,5,1.8450184501845,2,2.77777777777778
"23","Grid53","3","3",11928,2.05395241194764,4,5.55555555555556,7,2.5830258302583,2,2.77777777777778
"24","Grid54","4","4",12524,2.15658115419452,2,2.77777777777778,14,5.16605166051661,3,4.16666666666667
"25","Grid55","5","5",10826,1.86419255631666,3,4.16666666666667,6,2.2140221402214,4,5.55555555555556
