"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",7152,1.78155078615412,0,0,2,0.930232558139535,1,1.53846153846154
"2","Grid12","2","2",8535,2.12605368565792,0,0,3,1.3953488372093,1,1.53846153846154
"3","Grid13","3","3",1278,0.31834758175405,1,1.53846153846154,2,0.930232558139535,0,0
"4","Grid14","4","4",1318,0.328311512325382,0,0,2,0.930232558139535,0,0
"5","Grid15","5","5",1613,0.401795500288954,0,0,2,0.930232558139535,1,1.53846153846154
"6","Grid21","1","1",7599,1.89289771028875,0,0,2,0.930232558139535,0,0
"7","Grid22","2","2",14160,3.52723142225145,2,3.07692307692308,4,1.86046511627907,3,4.61538461538462
"8","Grid23","3","3",2153,0.536308563001933,1,1.53846153846154,3,1.3953488372093,0,0
"9","Grid24","4","4",4316,1.0751081086467,1,1.53846153846154,3,1.3953488372093,1,1.53846153846154
"10","Grid25","5","5",4852,1.20862477830254,1,1.53846153846154,3,1.3953488372093,1,1.53846153846154
"11","Grid31","1","1",9447,2.35323130268428,0,0,4,1.86046511627907,1,1.53846153846154
"12","Grid32","2","2",23113,5.75740818237978,4,6.15384615384615,12,5.58139534883721,3,4.61538461538462
"13","Grid33","3","3",40292,10.0366672645025,6,9.23076923076923,19,8.83720930232558,10,15.3846153846154
"14","Grid34","4","4",17215,4.28822661963691,5,7.69230769230769,14,6.51162790697674,2,3.07692307692308
"15","Grid35","5","5",3187,0.793876168270859,0,0,5,2.32558139534884,3,4.61538461538462
"16","Grid41","1","1",19136,4.76674438532512,1,1.53846153846154,11,5.11627906976744,1,1.53846153846154
"17","Grid42","2","2",32213,8.02420238735776,6,9.23076923076923,16,7.44186046511628,3,4.61538461538462
"18","Grid43","3","3",40481,10.083746836452,11,16.9230769230769,22,10.2325581395349,8,12.3076923076923
"19","Grid44","4","4",20152,5.01982822183695,10,15.3846153846154,16,7.44186046511628,3,4.61538461538462
"20","Grid45","5","5",6515,1.62287519180566,0,0,7,3.25581395348837,1,1.53846153846154
"21","Grid51","1","1",30039,7.48266276080588,2,3.07692307692308,16,7.44186046511628,3,4.61538461538462
"22","Grid52","2","2",41941,10.4474303023057,3,4.61538461538462,18,8.37209302325581,8,12.3076923076923
"23","Grid53","3","3",35131,8.75107112253642,7,10.7692307692308,16,7.44186046511628,7,10.7692307692308
"24","Grid54","4","4",12519,3.11846117056256,3,4.61538461538462,6,2.7906976744186,1,1.53846153846154
"25","Grid55","5","5",17091,4.25733843486579,1,1.53846153846154,7,3.25581395348837,3,4.61538461538462
