"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",6241,19.1183678470776,1,20,1,5.88235294117647,1,20
"2","Grid12","2","2",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"3","Grid13","3","3",0,0,0,0,0,0,0,0
"4","Grid14","4","4",0,0,0,0,0,0,0,0
"5","Grid15","5","5",0,0,0,0,0,0,0,0
"6","Grid21","1","1",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"7","Grid22","2","2",6245,19.1306212473962,1,20,2,11.7647058823529,1,20
"8","Grid23","3","3",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"9","Grid24","4","4",0,0,0,0,0,0,0,0
"10","Grid25","5","5",0,0,0,0,0,0,0,0
"11","Grid31","1","1",0,0,0,0,0,0,0,0
"12","Grid32","2","2",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"13","Grid33","3","3",6245,19.1306212473962,1,20,2,11.7647058823529,1,20
"14","Grid34","4","4",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"15","Grid35","5","5",0,0,0,0,0,0,0,0
"16","Grid41","1","1",0,0,0,0,0,0,0,0
"17","Grid42","2","2",0,0,0,0,0,0,0,0
"18","Grid43","3","3",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"19","Grid44","4","4",6245,19.1306212473962,1,20,2,11.7647058823529,1,20
"20","Grid45","5","5",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"21","Grid51","1","1",0,0,0,0,0,0,0,0
"22","Grid52","2","2",0,0,0,0,0,0,0,0
"23","Grid53","3","3",0,0,0,0,0,0,0,0
"24","Grid54","4","4",158,0.484009312584242,0,0,1,5.88235294117647,0,0
"25","Grid55","5","5",6404,19.61769391006,1,20,2,11.7647058823529,1,20
