"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",16071,4.06729988079782,1,1.51515151515152,8,3.68663594470046,5,7.57575757575758
"2","Grid12","2","2",13792,3.49052330010351,0,0,6,2.76497695852535,1,1.51515151515152
"3","Grid13","3","3",7180,1.81713727485087,1,1.51515151515152,3,1.38248847926267,0,0
"4","Grid14","4","4",6423,1.6255533031152,0,0,3,1.38248847926267,0,0
"5","Grid15","5","5",10480,2.65231178836172,0,0,5,2.30414746543779,3,4.54545454545454
"6","Grid21","1","1",6850,1.73361982349979,0,0,6,2.76497695852535,0,0
"7","Grid22","2","2",11669,2.95322769641153,2,3.03030303030303,8,3.68663594470046,3,4.54545454545454
"8","Grid23","3","3",7386,1.86927241114882,2,3.03030303030303,9,4.14746543778802,1,1.51515151515152
"9","Grid24","4","4",7729,1.95607994391677,2,3.03030303030303,11,5.06912442396313,1,1.51515151515152
"10","Grid25","5","5",15161,3.83699418161756,1,1.51515151515152,7,3.2258064516129,3,4.54545454545454
"11","Grid31","1","1",2482,0.628152467434521,0,0,1,0.460829493087558,0,0
"12","Grid32","2","2",17067,4.31937073396655,1,1.51515151515152,6,2.76497695852535,1,1.51515151515152
"13","Grid33","3","3",39954,10.1116856099431,9,13.6363636363636,21,9.67741935483871,11,16.6666666666667
"14","Grid34","4","4",35908,9.08771103974165,8,12.1212121212121,23,10.5990783410138,7,10.6060606060606
"15","Grid35","5","5",18194,4.6045954844898,1,1.51515151515152,9,4.14746543778802,3,4.54545454545454
"16","Grid41","1","1",1056,0.267255844323471,2,3.03030303030303,1,0.460829493087558,0,0
"17","Grid42","2","2",12944,3.27590875844981,1,1.51515151515152,7,3.2258064516129,0,0
"18","Grid43","3","3",36944,9.34990522034688,9,13.6363636363636,16,7.37327188940092,4,6.06060606060606
"19","Grid44","4","4",51720,13.0894623753882,18,27.2727272727273,21,9.67741935483871,10,15.1515151515152
"20","Grid45","5","5",15308,3.87419740994668,2,3.03030303030303,10,4.60829493087558,1,1.51515151515152
"21","Grid51","1","1",1848,0.467697727566074,2,3.03030303030303,1,0.460829493087558,0,0
"22","Grid52","2","2",7906,2.00087566782326,0,0,5,2.30414746543779,1,1.51515151515152
"23","Grid53","3","3",16149,4.08704036929899,0,0,8,3.68663594470046,4,6.06060606060606
"24","Grid54","4","4",16151,4.08754653567081,3,4.54545454545454,12,5.52995391705069,1,1.51515151515152
"25","Grid55","5","5",18755,4.74657515178664,1,1.51515151515152,10,4.60829493087558,6,9.09090909090909
