"","m.grid","m.gridO","m.gridI","m.areagraphical","m.percentgraphical","m.anzahlclassical","m.percentclassical","m.anzahlgraphic2","m.percentgraphic2","m.anzahlmiddlegraphic","m.percentmiddlegraphic"
"1","Grid11","1","1",1848,1.92101788999886,0,0,1,1.81818181818182,1,1.35135135135135
"2","Grid12","2","2",1685,1.75157745922515,0,0,2,3.63636363636364,1,1.35135135135135
"3","Grid13","3","3",0,0,0,0,0,0,0,0
"4","Grid14","4","4",0,0,0,0,0,0,0,0
"5","Grid15","5","5",0,0,0,0,0,0,1,1.35135135135135
"6","Grid21","1","1",0,0,0,0,0,0,0,0
"7","Grid22","2","2",2268,2.3576128649986,3,4.05405405405405,2,3.63636363636364,1,1.35135135135135
"8","Grid23","3","3",5975,6.21108327529392,2,2.7027027027027,3,5.45454545454545,7,9.45945945945946
"9","Grid24","4","4",4817,5.00732855850892,2,2.7027027027027,3,5.45454545454545,3,4.05405405405405
"10","Grid25","5","5",4536,4.71522572999719,0,0,2,3.63636363636364,2,2.7027027027027
"11","Grid31","1","1",4949,5.14454412208027,0,0,2,3.63636363636364,1,1.35135135135135
"12","Grid32","2","2",6579,6.83894842981736,0,0,3,5.45454545454545,2,2.7027027027027
"13","Grid33","3","3",13633,14.1716649861225,11,14.8648648648649,6,10.9090909090909,12,16.2162162162162
"14","Grid34","4","4",5999,6.23603155957962,5,6.75675675675676,3,5.45454545454545,4,5.40540540540541
"15","Grid35","5","5",1763,1.83265938315367,3,4.05405405405405,1,1.81818181818182,2,2.7027027027027
"16","Grid41","1","1",280,0.291063316666493,1,1.35135135135135,1,1.81818181818182,0,0
"17","Grid42","2","2",3375,3.50835247767648,1,1.35135135135135,2,3.63636363636364,5,6.75675675675676
"18","Grid43","3","3",5207,5.41273817815154,21,28.3783783783784,5,9.09090909090909,9,12.1621621621622
"19","Grid44","4","4",5711,5.93665214815123,18,24.3243243243243,5,9.09090909090909,8,10.8108108108108
"20","Grid45","5","5",1771,1.84097547791557,1,1.35135135135135,2,3.63636363636364,3,4.05405405405405
"21","Grid51","1","1",4946,5.14142558654456,1,1.35135135135135,2,3.63636363636364,2,2.7027027027027
"22","Grid52","2","2",2511,2.6102142433913,0,0,1,1.81818181818182,1,1.35135135135135
"23","Grid53","3","3",4131,4.29422343267602,5,6.75675675675676,2,3.63636363636364,3,4.05405405405405
"24","Grid54","4","4",7032,7.30984729570993,0,0,4,7.27272727272727,2,2.7027027027027
"25","Grid55","5","5",7183,7.46681358434079,0,0,3,5.45454545454545,4,5.40540540540541
