"","scenario","type","method1","method2","distance","pValue"
"108","290","OCCURRENCE","center","centertogrid",0.3145,0.0015
"109","290","IMPACT","center","reachedgrid",0.2205,0.0097
"110","290","OCCURRENCE","center","reachedgrid",0.2265,0.0115
"111","290","IMPACT","center","weighted",0.0863,0.6917
"112","290","OCCURRENCE","center","weighted",0.1148,0.3314
"113","290","IMPACT","center","pooling",0.5294,0.9565
"114","290","OCCURRENCE","center","pooling",0.6029,0.8116
"115","290","IMPACT","centertogrid","reachedgrid",0.0736,0.5594
"116","290","OCCURRENCE","centertogrid","reachedgrid",0.1146,0.2553
"117","290","IMPACT","centertogrid","weighted",0.1917,0.0135
"118","290","OCCURRENCE","centertogrid","weighted",0.2917,0
"119","290","IMPACT","centertogrid","pooling",0.5,1
"120","290","OCCURRENCE","centertogrid","pooling",0.6119,0.7941
"121","290","IMPACT","reachedgrid","weighted",0.1582,0.0014
"122","290","OCCURRENCE","reachedgrid","weighted",0.1771,0.0013
"123","290","IMPACT","reachedgrid","pooling",0.5172,0.7055
"124","290","OCCURRENCE","reachedgrid","pooling",0.7265,0.5085
"125","290","IMPACT","weighted","pooling",0.5478,0.925
"126","290","OCCURRENCE","weighted","pooling",0.6612,0.7745
"127","291","IMPACT","classic","area",0.2243,0.0017
"128","291","OCCURRENCE","classic","area",0.3418,0
"129","291","IMPACT","classic","center",0.2535,0.0136
"130","291","OCCURRENCE","classic","center",0.3662,1e-04
"131","291","IMPACT","classic","centertogrid",0.0986,0.5016
"132","291","OCCURRENCE","classic","centertogrid",0.2394,0.0051
"133","291","IMPACT","classic","reachedgrid",0.0895,0.425
"134","291","OCCURRENCE","classic","reachedgrid",0.2435,0.0017
"135","291","IMPACT","classic","weighted",0.1917,0.0108
"136","291","OCCURRENCE","classic","weighted",0.3506,0
"137","291","IMPACT","classic","pooling",0.7183,0.4722
"138","291","OCCURRENCE","classic","pooling",0.6197,0.5833
"139","291","IMPACT","area","center",0.1011,0.4701
"140","291","OCCURRENCE","area","center",0.0557,0.9819
"141","291","IMPACT","area","centertogrid",0.2262,0.0015
"142","291","OCCURRENCE","area","centertogrid",0.1619,0.0514
"143","291","IMPACT","area","reachedgrid",0.1704,8e-04
"144","291","OCCURRENCE","area","reachedgrid",0.1449,0.0187
"145","291","IMPACT","area","weighted",0.0327,0
"146","291","OCCURRENCE","area","weighted",0.0114,0.6127
"147","291","IMPACT","area","pooling",0.604,0.7903
"148","291","OCCURRENCE","area","pooling",0.51,0.977
"149","291","IMPACT","center","centertogrid",0.2535,0.0155
"150","291","OCCURRENCE","center","centertogrid",0.1549,0.3047
"151","291","IMPACT","center","reachedgrid",0.2671,9e-04
"152","291","OCCURRENCE","center","reachedgrid",0.1481,0.1954
"153","291","IMPACT","center","weighted",0.0685,0.8929
"154","291","OCCURRENCE","center","weighted",0.0575,0.9729
"155","291","IMPACT","center","pooling",0.5211,0.9722
"156","291","OCCURRENCE","center","pooling",0.507,1
"157","291","IMPACT","centertogrid","reachedgrid",0.0558,0.7582
"158","291","OCCURRENCE","centertogrid","reachedgrid",0.0355,0.9561
"159","291","IMPACT","centertogrid","weighted",0.2157,0.0027
"160","291","OCCURRENCE","centertogrid","weighted",0.153,0.0719
"161","291","IMPACT","centertogrid","pooling",0.6761,0.5417
"162","291","OCCURRENCE","centertogrid","pooling",0.6056,0.7361
"163","291","IMPACT","reachedgrid","weighted",0.1986,0
"164","291","OCCURRENCE","reachedgrid","weighted",0.1475,0.014
"165","291","IMPACT","reachedgrid","pooling",0.7319,0.5108
"166","291","OCCURRENCE","reachedgrid","pooling",0.5702,0.7739
"167","291","IMPACT","weighted","pooling",0.5717,0.8994
"168","291","OCCURRENCE","weighted","pooling",0.5013,0.9631
"169","292","IMPACT","classic","area",0.2411,6e-04
"170","292","OCCURRENCE","classic","area",0.4133,0
"171","292","IMPACT","classic","center",0.3286,6e-04
"172","292","OCCURRENCE","classic","center",0.4,0
"173","292","IMPACT","classic","centertogrid",0.1058,0.2962
"174","292","OCCURRENCE","classic","centertogrid",0.3366,1e-04
"175","292","IMPACT","classic","reachedgrid",0.0469,0.9999
"176","292","OCCURRENCE","classic","reachedgrid",0.2831,1e-04
"177","292","IMPACT","classic","weighted",0.2942,0
"178","292","OCCURRENCE","classic","weighted",0.4035,0
"179","292","IMPACT","classic","pooling",0.7,0.6056
"180","292","OCCURRENCE","classic","pooling",0.7714,0.4789
"181","292","IMPACT","area","center",0.1389,0.1377
"182","292","OCCURRENCE","area","center",0.0673,0.913
"183","292","IMPACT","area","centertogrid",0.2828,0
"184","292","OCCURRENCE","area","centertogrid",0.2164,0.0034
"185","292","IMPACT","area","reachedgrid",0.224,0
"186","292","OCCURRENCE","area","reachedgrid",0.1628,0.0025
"187","292","IMPACT","area","weighted",0.0551,0
"188","292","OCCURRENCE","area","weighted",0.0218,0.0136
"189","292","IMPACT","area","pooling",0.6521,0.6948
"190","292","OCCURRENCE","area","pooling",0.545,0.908
"191","292","IMPACT","center","centertogrid",0.3201,9e-04
"192","292","OCCURRENCE","center","centertogrid",0.2081,0.0629
"193","292","IMPACT","center","reachedgrid",0.2816,0.0011
"194","292","OCCURRENCE","center","reachedgrid",0.1742,0.0715
"195","292","IMPACT","center","weighted",0.0838,0.7091
"196","292","OCCURRENCE","center","weighted",0.0756,0.8187
"197","292","IMPACT","center","pooling",0.6,0.8169
"198","292","OCCURRENCE","center","pooling",0.5143,0.9859
"199","292","IMPACT","centertogrid","reachedgrid",0.0964,0.7752
"200","292","OCCURRENCE","centertogrid","reachedgrid",0.0536,0.8076
"201","292","IMPACT","centertogrid","weighted",0.2678,1e-04
"202","292","OCCURRENCE","centertogrid","weighted",0.233,0.0011
"203","292","IMPACT","centertogrid","pooling",0.5942,0.6143
"204","292","OCCURRENCE","centertogrid","pooling",0.5652,0.6429
"205","292","IMPACT","reachedgrid","weighted",0.2472,0
"206","292","OCCURRENCE","reachedgrid","weighted",0.1794,5e-04
"207","292","IMPACT","reachedgrid","pooling",0.6531,0.6486
"208","292","OCCURRENCE","reachedgrid","pooling",0.5116,0.7231
"209","292","IMPACT","weighted","pooling",0.6124,0.8474
"210","292","OCCURRENCE","weighted","pooling",0.5541,0.9186
"211","293","IMPACT","classic","area",0.2851,2e-04
"212","293","OCCURRENCE","classic","area",0.2905,2e-04
"213","293","IMPACT","classic","center",0.2456,0.042
"214","293","OCCURRENCE","classic","center",0.2456,0.0407
"215","293","IMPACT","classic","centertogrid",0.0702,0.8212
"216","293","OCCURRENCE","classic","centertogrid",0.1579,0.1625
"217","293","IMPACT","classic","reachedgrid",0.0989,0.3852
"218","293","OCCURRENCE","classic","reachedgrid",0.1319,0.164
"219","293","IMPACT","classic","weighted",0.2414,0.0026
"220","293","OCCURRENCE","classic","weighted",0.2675,6e-04
"221","293","IMPACT","classic","pooling",0.7368,0.5345
"222","293","OCCURRENCE","classic","pooling",0.7368,0.5
"223","293","IMPACT","area","center",0.1529,0.1432
"224","293","OCCURRENCE","area","center",0.0852,0.8089
"225","293","IMPACT","area","centertogrid",0.2501,0.0017
"226","293","OCCURRENCE","area","centertogrid",0.2852,2e-04
"227","293","IMPACT","area","reachedgrid",0.2044,2e-04
"228","293","OCCURRENCE","area","reachedgrid",0.1817,0.0032
"229","293","IMPACT","area","weighted",0.0478,0
"230","293","OCCURRENCE","area","weighted",0.0254,0.0107
"231","293","IMPACT","area","pooling",0.6101,0.7796
"232","293","OCCURRENCE","area","pooling",0.5672,0.8659
"233","293","IMPACT","center","centertogrid",0.2456,0.0472
"234","293","OCCURRENCE","center","centertogrid",0.3158,0.005
"235","293","IMPACT","center","reachedgrid",0.2054,0.0401
"236","293","OCCURRENCE","center","reachedgrid",0.2123,0.038
"237","293","IMPACT","center","weighted",0.1061,0.5421
"238","293","OCCURRENCE","center","weighted",0.0644,0.9723
"239","293","IMPACT","center","pooling",0.5439,0.931
"240","293","OCCURRENCE","center","pooling",0.5263,0.9655
"241","293","IMPACT","centertogrid","reachedgrid",0.0767,0.5574
"242","293","OCCURRENCE","centertogrid","reachedgrid",0.1035,0.3981
"243","293","IMPACT","centertogrid","weighted",0.2312,0.0045
"244","293","OCCURRENCE","centertogrid","weighted",0.2777,3e-04
"245","293","IMPACT","centertogrid","pooling",0.6667,0.6379
"246","293","OCCURRENCE","centertogrid","pooling",0.5965,0.7931
"247","293","IMPACT","reachedgrid","weighted",0.1981,2e-04
"248","293","OCCURRENCE","reachedgrid","weighted",0.201,6e-04
"249","293","IMPACT","reachedgrid","pooling",0.7069,0.4274
"250","293","OCCURRENCE","reachedgrid","pooling",0.7,0.4257
"251","293","IMPACT","weighted","pooling",0.5686,0.9029
"252","293","OCCURRENCE","weighted","pooling",0.5432,0.9294
"253","294","IMPACT","classic","area",0.3387,0
"254","294","OCCURRENCE","classic","area",0.2703,2e-04
"255","294","IMPACT","classic","center",0.3538,4e-04
"256","294","OCCURRENCE","classic","center",0.3231,0.0014
"257","294","IMPACT","classic","centertogrid",0.0923,0.5517
"258","294","OCCURRENCE","classic","centertogrid",0.1077,0.377
"259","294","IMPACT","classic","reachedgrid",0.1333,0.1188
"260","294","OCCURRENCE","classic","reachedgrid",0.1538,0.0573
