"","scenario","type","method1","method2","distance"
"126","290","OCCURRENCE","weighted","pooling",0.6605
"127","291","IMPACT","classic","area",0.2243
"128","291","OCCURRENCE","classic","area",0.3418
"129","291","IMPACT","classic","center",0.2535
"130","291","OCCURRENCE","classic","center",0.3662
"131","291","IMPACT","classic","centertogrid",0.0986
"132","291","OCCURRENCE","classic","centertogrid",0.2394
"133","291","IMPACT","classic","reachedgrid",0.0895
"134","291","OCCURRENCE","classic","reachedgrid",0.2435
"135","291","IMPACT","classic","weighted",0.1918
"136","291","OCCURRENCE","classic","weighted",0.3509
"137","291","IMPACT","classic","pooling",0.7183
"138","291","OCCURRENCE","classic","pooling",0.6197
"139","291","IMPACT","area","center",0.1011
"140","291","OCCURRENCE","area","center",0.0557
"141","291","IMPACT","area","centertogrid",0.2262
"142","291","OCCURRENCE","area","centertogrid",0.1619
"143","291","IMPACT","area","reachedgrid",0.1704
"144","291","OCCURRENCE","area","reachedgrid",0.1449
"145","291","IMPACT","area","weighted",0.0326
"146","291","OCCURRENCE","area","weighted",0.0114
"147","291","IMPACT","area","pooling",0.604
"148","291","OCCURRENCE","area","pooling",0.51
"149","291","IMPACT","center","centertogrid",0.2535
"150","291","OCCURRENCE","center","centertogrid",0.1549
"151","291","IMPACT","center","reachedgrid",0.2671
"152","291","OCCURRENCE","center","reachedgrid",0.1481
"153","291","IMPACT","center","weighted",0.0685
"154","291","OCCURRENCE","center","weighted",0.0576
"155","291","IMPACT","center","pooling",0.5211
"156","291","OCCURRENCE","center","pooling",0.507
"157","291","IMPACT","centertogrid","reachedgrid",0.0558
"158","291","OCCURRENCE","centertogrid","reachedgrid",0.0355
"159","291","IMPACT","centertogrid","weighted",0.2157
"160","291","OCCURRENCE","centertogrid","weighted",0.1528
"161","291","IMPACT","centertogrid","pooling",0.6761
"162","291","OCCURRENCE","centertogrid","pooling",0.6056
"163","291","IMPACT","reachedgrid","weighted",0.1985
"164","291","OCCURRENCE","reachedgrid","weighted",0.1478
"165","291","IMPACT","reachedgrid","pooling",0.7319
"166","291","OCCURRENCE","reachedgrid","pooling",0.5702
"167","291","IMPACT","weighted","pooling",0.5718
"168","291","OCCURRENCE","weighted","pooling",0.5011
"169","292","IMPACT","classic","area",0.2411
"170","292","OCCURRENCE","classic","area",0.4133
"171","292","IMPACT","classic","center",0.3286
"172","292","OCCURRENCE","classic","center",0.4
"173","292","IMPACT","classic","centertogrid",0.1058
"174","292","OCCURRENCE","classic","centertogrid",0.3366
"175","292","IMPACT","classic","reachedgrid",0.0469
"176","292","OCCURRENCE","classic","reachedgrid",0.2831
"177","292","IMPACT","classic","weighted",0.2945
"178","292","OCCURRENCE","classic","weighted",0.4033
"179","292","IMPACT","classic","pooling",0.7
"180","292","OCCURRENCE","classic","pooling",0.7714
"181","292","IMPACT","area","center",0.1389
"182","292","OCCURRENCE","area","center",0.0673
"183","292","IMPACT","area","centertogrid",0.2828
"184","292","OCCURRENCE","area","centertogrid",0.2164
"185","292","IMPACT","area","reachedgrid",0.224
"186","292","OCCURRENCE","area","reachedgrid",0.1628
"187","292","IMPACT","area","weighted",0.0553
"188","292","OCCURRENCE","area","weighted",0.0216
"189","292","IMPACT","area","pooling",0.6521
"190","292","OCCURRENCE","area","pooling",0.545
"191","292","IMPACT","center","centertogrid",0.3201
"192","292","OCCURRENCE","center","centertogrid",0.2081
"193","292","IMPACT","center","reachedgrid",0.2816
"194","292","OCCURRENCE","center","reachedgrid",0.1742
"195","292","IMPACT","center","weighted",0.0836
"196","292","OCCURRENCE","center","weighted",0.0758
"197","292","IMPACT","center","pooling",0.6
"198","292","OCCURRENCE","center","pooling",0.5143
"199","292","IMPACT","centertogrid","reachedgrid",0.0964
"200","292","OCCURRENCE","centertogrid","reachedgrid",0.0536
"201","292","IMPACT","centertogrid","weighted",0.268
"202","292","OCCURRENCE","centertogrid","weighted",0.2327
"203","292","IMPACT","centertogrid","pooling",0.5942
"204","292","OCCURRENCE","centertogrid","pooling",0.5652
"205","292","IMPACT","reachedgrid","weighted",0.2476
"206","292","OCCURRENCE","reachedgrid","weighted",0.1791
"207","292","IMPACT","reachedgrid","pooling",0.6531
"208","292","OCCURRENCE","reachedgrid","pooling",0.5116
"209","292","IMPACT","weighted","pooling",0.6126
"210","292","OCCURRENCE","weighted","pooling",0.5542
"211","293","IMPACT","classic","area",0.2851
"212","293","OCCURRENCE","classic","area",0.2905
"213","293","IMPACT","classic","center",0.2456
