"","type","method1","method2","distance"
"1","IMPACT","classic","area",0.301155555555556
"2","OCCURRENCE","classic","area",0.3543
"3","IMPACT","area","center",0.127827777777778
"4","OCCURRENCE","area","center",0.0973388888888889
"5","IMPACT","classic","center",0.293038888888889
"6","OCCURRENCE","classic","center",0.322022222222222
"7","IMPACT","area","centertogrid",0.260283333333333
"8","OCCURRENCE","area","centertogrid",0.24385
"9","IMPACT","center","centertogrid",0.283616666666667
"10","OCCURRENCE","center","centertogrid",0.251372222222222
"11","IMPACT","classic","centertogrid",0.118694444444444
"12","OCCURRENCE","classic","centertogrid",0.197661111111111
"13","IMPACT","area","pooling",0.613161111111111
"14","OCCURRENCE","area","pooling",0.591916666666667
"15","IMPACT","center","pooling",0.582022222222222
"16","OCCURRENCE","center","pooling",0.550961111111111
"17","IMPACT","centertogrid","pooling",0.618688888888889
"18","OCCURRENCE","centertogrid","pooling",0.591294444444444
"19","IMPACT","classic","pooling",0.6945
"20","OCCURRENCE","classic","pooling",0.715327777777778
"21","IMPACT","reachedgrid","pooling",0.671666666666667
"22","OCCURRENCE","reachedgrid","pooling",0.629966666666667
"23","IMPACT","weighted","pooling",0.594455555555556
"24","OCCURRENCE","weighted","pooling",0.577355555555556
"25","IMPACT","area","reachedgrid",0.19385
"26","OCCURRENCE","area","reachedgrid",0.182555555555556
"27","IMPACT","center","reachedgrid",0.256777777777778
"28","OCCURRENCE","center","reachedgrid",0.210694444444444
"29","IMPACT","centertogrid","reachedgrid",0.0941611111111111
"30","OCCURRENCE","centertogrid","reachedgrid",0.0812055555555556
"31","IMPACT","classic","reachedgrid",0.136166666666667
"32","OCCURRENCE","classic","reachedgrid",0.200916666666667
"33","IMPACT","area","weighted",0.0489222222222222
"34","OCCURRENCE","area","weighted",0.0275222222222222
"35","IMPACT","center","weighted",0.0862388888888889
"36","OCCURRENCE","center","weighted",0.0802333333333333
"37","IMPACT","centertogrid","weighted",0.243811111111111
"38","OCCURRENCE","centertogrid","weighted",0.234338888888889
"39","IMPACT","classic","weighted",0.277583333333333
"40","OCCURRENCE","classic","weighted",0.335577777777778
"41","IMPACT","reachedgrid","weighted",0.220122222222222
"42","OCCURRENCE","reachedgrid","weighted",0.184688888888889
