"","scenario","type","method1","method2","distance","pValue"
"86","297","OCCURRENCE","classic","weighted",NA,0.00373642384787662
"87","297","IMPACT","area","weighted",NA,0.468010199949156
"88","297","OCCURRENCE","area","weighted",NA,0.50226227014002
"89","297","IMPACT","center","weighted",NA,0.650859734784654
"90","297","OCCURRENCE","center","weighted",NA,0.665815140392679
"91","297","IMPACT","centertogrid","weighted",NA,0.0172928006577915
"92","297","OCCURRENCE","centertogrid","weighted",NA,0.0226272445150244
"93","297","IMPACT","reachedgrid","weighted",NA,0.0252743005163324
"94","297","OCCURRENCE","reachedgrid","weighted",NA,0.0404119257075447
"95","297","IMPACT","pooling","weighted",NA,9.91429160990265e-18
"96","297","OCCURRENCE","pooling","weighted",NA,7.85227438626634e-16
"97","309","IMPACT","classic","weighted",NA,0.000508420437184992
"98","309","OCCURRENCE","classic","weighted",NA,0.000891723956271502
"99","309","IMPACT","area","weighted",NA,0.47618150119991
"100","309","OCCURRENCE","area","weighted",NA,0.535564001286221
"101","309","IMPACT","center","weighted",NA,0.58456882536617
"102","309","OCCURRENCE","center","weighted",NA,0.64532308228399
"103","309","IMPACT","centertogrid","weighted",NA,0.0607699230901298
"104","309","OCCURRENCE","centertogrid","weighted",NA,0.0212005981465816
"105","309","IMPACT","reachedgrid","weighted",NA,0.0512681508479976
"106","309","OCCURRENCE","reachedgrid","weighted",NA,0.0282485067512855
"107","309","IMPACT","pooling","weighted",NA,1.04982689208555e-16
"108","309","OCCURRENCE","pooling","weighted",NA,4.88942220044919e-17
"109","317","IMPACT","classic","weighted",NA,0.00825872129675548
"110","317","OCCURRENCE","classic","weighted",NA,0.00148742218745135
"111","317","IMPACT","area","weighted",NA,0.451005827764848
"112","317","OCCURRENCE","area","weighted",NA,0.475927409817884
"113","317","IMPACT","center","weighted",NA,0.60661954860453
"114","317","OCCURRENCE","center","weighted",NA,0.5582322870053
"115","317","IMPACT","centertogrid","weighted",NA,0.044987234075641
"116","317","OCCURRENCE","centertogrid","weighted",NA,0.00806275001909658
"117","317","IMPACT","reachedgrid","weighted",NA,0.00643343319387258
"118","317","OCCURRENCE","reachedgrid","weighted",NA,0.0127921665608325
"119","317","IMPACT","pooling","weighted",NA,4.7513770695673e-15
"120","317","OCCURRENCE","pooling","weighted",NA,3.00020008836555e-15
"121","319","IMPACT","classic","weighted",NA,0.000513374866117368
"122","319","OCCURRENCE","classic","weighted",NA,0.000123195842915311
"123","319","IMPACT","area","weighted",NA,0.467737871726839
"124","319","OCCURRENCE","area","weighted",NA,0.544727929895868
"125","319","IMPACT","center","weighted",NA,0.481042736372769
"126","319","OCCURRENCE","center","weighted",NA,0.653848335551882
"127","319","IMPACT","centertogrid","weighted",NA,0.0264549559830972
"128","319","OCCURRENCE","centertogrid","weighted",NA,0.0174983099029147
"129","319","IMPACT","reachedgrid","weighted",NA,0.00650414268379065
"130","319","OCCURRENCE","reachedgrid","weighted",NA,0.0124103699875544
"131","319","IMPACT","pooling","weighted",NA,9.96733806601924e-15
"132","319","OCCURRENCE","pooling","weighted",NA,1.2011613925722e-15
"133","322","IMPACT","classic","weighted",NA,0.0059727872703059
"134","322","OCCURRENCE","classic","weighted",NA,7.7325567849257e-05
"135","322","IMPACT","area","weighted",NA,0.315063655369129
"136","322","OCCURRENCE","area","weighted",NA,0.530654107489036
"137","322","IMPACT","center","weighted",NA,0.579716350326964
"138","322","OCCURRENCE","center","weighted",NA,0.673439285080445
"139","322","IMPACT","centertogrid","weighted",NA,0.02810862979888
"140","322","OCCURRENCE","centertogrid","weighted",NA,0.0601125552716342
"141","322","IMPACT","reachedgrid","weighted",NA,0.00982888774000342
"142","322","OCCURRENCE","reachedgrid","weighted",NA,0.0270402329946276
"143","322","IMPACT","pooling","weighted",NA,2.91713320166309e-15
"144","322","OCCURRENCE","pooling","weighted",NA,6.2693183977558e-16
"145","323","IMPACT","classic","weighted",NA,0.00231161041534339
"146","323","OCCURRENCE","classic","weighted",NA,0.00329238033065836
