"","scenario","type","method1","method2","distance","pValue"
"110","283","OCCURRENCE","center","reachedgrid",0.1903,0.0447
"111","283","IMPACT","center","weighted",0.0832,0.7013
"112","283","OCCURRENCE","center","weighted",0.0945,0.541
"113","283","IMPACT","center","pooling",0.5694,0
"114","283","OCCURRENCE","center","pooling",0.75,0
"115","283","IMPACT","centertogrid","reachedgrid",0.0934,0.7856
"116","283","OCCURRENCE","centertogrid","reachedgrid",0.0319,0.9634
"117","283","IMPACT","centertogrid","weighted",0.1846,0.0158
"118","283","OCCURRENCE","centertogrid","weighted",0.2434,4e-04
"119","283","IMPACT","centertogrid","pooling",0.507,0
"120","283","OCCURRENCE","centertogrid","pooling",0.7222,0
"121","283","IMPACT","reachedgrid","weighted",0.1736,1e-04
"122","283","OCCURRENCE","reachedgrid","weighted",0.2115,1e-04
"123","283","IMPACT","reachedgrid","pooling",0.5157,0
"124","283","OCCURRENCE","reachedgrid","pooling",0.6957,0
"125","283","IMPACT","weighted","pooling",0.5599,0
"126","283","OCCURRENCE","weighted","pooling",0.8013,0
"127","284","IMPACT","classic","area",0.2426,6e-04
"128","284","OCCURRENCE","classic","area",0.3524,0
"129","284","IMPACT","classic","center",0.2857,0.0036
"130","284","OCCURRENCE","classic","center",0.3714,0
"131","284","IMPACT","classic","centertogrid",0.0714,0.7076
"132","284","OCCURRENCE","classic","centertogrid",0.2143,0.0183
"133","284","IMPACT","classic","reachedgrid",0.1267,0.428
"134","284","OCCURRENCE","classic","reachedgrid",0.2121,0.0062
"135","284","IMPACT","classic","weighted",0.26,2e-04
"136","284","OCCURRENCE","classic","weighted",0.3576,0
"137","284","IMPACT","classic","pooling",0.5835,0
"138","284","OCCURRENCE","classic","pooling",0.6286,0
"139","284","IMPACT","area","center",0.0944,0.5662
"140","284","OCCURRENCE","area","center",0.0691,0.8978
"141","284","IMPACT","area","centertogrid",0.1948,0.0104
"142","284","OCCURRENCE","area","centertogrid",0.1755,0.0288
"143","284","IMPACT","area","reachedgrid",0.1788,2e-04
"144","284","OCCURRENCE","area","reachedgrid",0.1418,0.0198
"145","284","IMPACT","area","weighted",0.0251,1e-04
"146","284","OCCURRENCE","area","weighted",0.0067,0.993
"147","284","IMPACT","area","pooling",0.5879,0
"148","284","OCCURRENCE","area","pooling",0.7759,0
"149","284","IMPACT","center","centertogrid",0.2143,0.059
"150","284","OCCURRENCE","center","centertogrid",0.1857,0.1467
"151","284","IMPACT","center","reachedgrid",0.2219,0.0182
"152","284","OCCURRENCE","center","reachedgrid",0.1593,0.1337
"153","284","IMPACT","center","weighted",0.0887,0.6406
"154","284","OCCURRENCE","center","weighted",0.0648,0.9307
"155","284","IMPACT","center","pooling",0.5161,0
"156","284","OCCURRENCE","center","pooling",0.7714,0
"157","284","IMPACT","centertogrid","reachedgrid",0.0838,0.8908
"158","284","OCCURRENCE","centertogrid","reachedgrid",0.0346,0.953
"159","284","IMPACT","centertogrid","weighted",0.1886,0.0137
"160","284","OCCURRENCE","centertogrid","weighted",0.1761,0.0261
"161","284","IMPACT","centertogrid","pooling",0.5264,0
"162","284","OCCURRENCE","centertogrid","pooling",0.6857,0
"163","284","IMPACT","reachedgrid","weighted",0.1962,0
"164","284","OCCURRENCE","reachedgrid","weighted",0.1455,0.0136
"165","284","IMPACT","reachedgrid","pooling",0.5178,0
"166","284","OCCURRENCE","reachedgrid","pooling",0.7203,0
"167","284","IMPACT","weighted","pooling",0.568,0
"168","284","OCCURRENCE","weighted","pooling",0.7789,0
"169","285","IMPACT","classic","area",0.382,0
"170","285","OCCURRENCE","classic","area",0.4229,0
"171","285","IMPACT","classic","center",0.3662,1e-04
"172","285","OCCURRENCE","classic","center",0.4225,0
"173","285","IMPACT","classic","centertogrid",0.1439,0.1236
"174","285","OCCURRENCE","classic","centertogrid",0.2535,0.003
"175","285","IMPACT","classic","reachedgrid",0.2108,0.0253
"176","285","OCCURRENCE","classic","reachedgrid",0.2563,7e-04
"177","285","IMPACT","classic","weighted",0.3511,0
"178","285","OCCURRENCE","classic","weighted",0.4093,0
"179","285","IMPACT","classic","pooling",0.5493,0
"180","285","OCCURRENCE","classic","pooling",0.7606,0
"181","285","IMPACT","area","center",0.1328,0.1672
"182","285","OCCURRENCE","area","center",0.0529,0.9897
"183","285","IMPACT","area","centertogrid",0.2381,8e-04
"184","285","OCCURRENCE","area","centertogrid",0.1694,0.0363
"185","285","IMPACT","area","reachedgrid",0.1712,2e-04
"186","285","OCCURRENCE","area","reachedgrid",0.1666,0.0036
"187","285","IMPACT","area","weighted",0.0367,0
"188","285","OCCURRENCE","area","weighted",0.0136,0.3887
"189","285","IMPACT","area","pooling",0.7016,0
"190","285","OCCURRENCE","area","pooling",0.6224,0
"191","285","IMPACT","center","centertogrid",0.2223,0.0341
"192","285","OCCURRENCE","center","centertogrid",0.169,0.2132
"193","285","IMPACT","center","reachedgrid",0.1827,0.0751
"194","285","OCCURRENCE","center","reachedgrid",0.1684,0.1001
"195","285","IMPACT","center","weighted",0.0964,0.5247
"196","285","OCCURRENCE","center","weighted",0.049,0.9957
"197","285","IMPACT","center","pooling",0.6197,0
"198","285","OCCURRENCE","center","pooling",0.6197,0
"199","285","IMPACT","centertogrid","reachedgrid",0.0732,0.9565
"200","285","OCCURRENCE","centertogrid","reachedgrid",0.0135,0.997
"201","285","IMPACT","centertogrid","weighted",0.2072,0.0049
"202","285","OCCURRENCE","centertogrid","weighted",0.1635,0.0449
"203","285","IMPACT","centertogrid","pooling",0.5571,0
"204","285","OCCURRENCE","centertogrid","pooling",0.507,0
"205","285","IMPACT","reachedgrid","weighted",0.1403,0.0037
"206","285","OCCURRENCE","reachedgrid","weighted",0.1558,0.0068
"207","285","IMPACT","reachedgrid","pooling",0.5562,0
"208","285","OCCURRENCE","reachedgrid","pooling",0.5043,0
"209","285","IMPACT","weighted","pooling",0.6738,0
"210","285","OCCURRENCE","weighted","pooling",0.6096,0
"211","286","IMPACT","classic","area",0.3008,0
"212","286","OCCURRENCE","classic","area",0.2198,0.0042
"213","286","IMPACT","classic","center",0.2615,0.0155
"214","286","OCCURRENCE","classic","center",0.2308,0.0427
"215","286","IMPACT","classic","centertogrid",0.1077,0.4048
"216","286","OCCURRENCE","classic","centertogrid",0.0923,0.6007
"217","286","IMPACT","classic","reachedgrid",0.1246,0.1733
"218","286","OCCURRENCE","classic","reachedgrid",0.0731,0.6042
"219","286","IMPACT","classic","weighted",0.2979,0
"220","286","OCCURRENCE","classic","weighted",0.2369,0.0014
"221","286","IMPACT","classic","pooling",0.5306,0
"222","286","OCCURRENCE","classic","pooling",0.7153,0
"223","286","IMPACT","area","center",0.1132,0.3824
"224","286","OCCURRENCE","area","center",0.055,0.9903
"225","286","IMPACT","area","centertogrid",0.2085,0.0075
"226","286","OCCURRENCE","area","centertogrid",0.2443,0.001
"227","286","IMPACT","area","reachedgrid",0.1762,7e-04
"228","286","OCCURRENCE","area","reachedgrid",0.1923,0.001
"229","286","IMPACT","area","weighted",0.0098,0.6135
"230","286","OCCURRENCE","area","weighted",0.023,0.0335
"231","286","IMPACT","area","pooling",0.5647,0
"232","286","OCCURRENCE","area","pooling",0.7467,0
"233","286","IMPACT","center","centertogrid",0.2154,0.071
"234","286","OCCURRENCE","center","centertogrid",0.2769,0.0097
"235","286","IMPACT","center","reachedgrid",0.1861,0.0524
"236","286","OCCURRENCE","center","reachedgrid",0.212,0.0273
"237","286","IMPACT","center","weighted",0.1064,0.454
"238","286","OCCURRENCE","center","weighted",0.0673,0.9297
"239","286","IMPACT","center","pooling",0.5287,0
"240","286","OCCURRENCE","center","pooling",0.7218,0
"241","286","IMPACT","centertogrid","reachedgrid",0.0796,0.5549
"242","286","OCCURRENCE","centertogrid","reachedgrid",0.0649,0.7014
"243","286","IMPACT","centertogrid","weighted",0.2056,0.0082
"244","286","OCCURRENCE","centertogrid","weighted",0.2389,0.0012
"245","286","IMPACT","centertogrid","pooling",0.4383,0
"246","286","OCCURRENCE","centertogrid","pooling",0.6845,0
"247","286","IMPACT","reachedgrid","weighted",0.1734,7e-04
"248","286","OCCURRENCE","reachedgrid","weighted",0.2094,2e-04
"249","286","IMPACT","reachedgrid","pooling",0.406,0
"250","286","OCCURRENCE","reachedgrid","pooling",0.6755,0
"251","286","IMPACT","weighted","pooling",0.5609,0
"252","286","OCCURRENCE","weighted","pooling",0.7639,0
"253","287","IMPACT","classic","area",0.2963,0
"254","287","OCCURRENCE","classic","area",0.4229,0
"255","287","IMPACT","classic","center",0.2727,0.0099
"256","287","OCCURRENCE","classic","center",0.303,0.0022
"257","287","IMPACT","classic","centertogrid",0.1515,0.1606
"258","287","OCCURRENCE","classic","centertogrid",0.2023,0.0273
"259","287","IMPACT","classic","reachedgrid",0.1789,0.0234
"260","287","OCCURRENCE","classic","reachedgrid",0.255,7e-04
"261","287","IMPACT","classic","weighted",0.226,0.0024
"262","287","OCCURRENCE","classic","weighted",0.3644,0
"263","287","IMPACT","classic","pooling",0.6061,0
"264","287","OCCURRENCE","classic","pooling",0.6667,0
"265","287","IMPACT","area","center",0.1565,0.0815
"266","287","OCCURRENCE","area","center",0.1412,0.1487
"267","287","IMPACT","area","centertogrid",0.3311,0
"268","287","OCCURRENCE","area","centertogrid",0.3121,0
"269","287","IMPACT","area","reachedgrid",0.2031,0
"270","287","OCCURRENCE","area","reachedgrid",0.1894,4e-04
"271","287","IMPACT","area","weighted",0.0712,0
"272","287","OCCURRENCE","area","weighted",0.0612,0
"273","287","IMPACT","area","pooling",0.4989,0
"274","287","OCCURRENCE","area","pooling",0.5887,0
"275","287","IMPACT","center","centertogrid",0.3636,2e-04
"276","287","OCCURRENCE","center","centertogrid",0.3548,3e-04
"277","287","IMPACT","center","reachedgrid",0.2752,8e-04
"278","287","OCCURRENCE","center","reachedgrid",0.2528,0.0036
"279","287","IMPACT","center","weighted",0.1217,0.2828
"280","287","OCCURRENCE","center","weighted",0.1003,0.52
"281","287","IMPACT","center","pooling",0.5907,0
"282","287","OCCURRENCE","center","pooling",0.4697,0
"283","287","IMPACT","centertogrid","reachedgrid",0.154,0.0655
"284","287","OCCURRENCE","centertogrid","reachedgrid",0.1227,0.2143
"285","287","IMPACT","centertogrid","weighted",0.3007,0
"286","287","OCCURRENCE","centertogrid","weighted",0.2986,0
"287","287","IMPACT","centertogrid","pooling",0.5152,0
"288","287","OCCURRENCE","centertogrid","pooling",0.5846,0
"289","287","IMPACT","reachedgrid","weighted",0.2736,0
"290","287","OCCURRENCE","reachedgrid","weighted",0.1881,3e-04
"291","287","IMPACT","reachedgrid","pooling",0.6691,0
"292","287","OCCURRENCE","reachedgrid","pooling",0.7073,0
"293","287","IMPACT","weighted","pooling",0.5701,0
"294","287","OCCURRENCE","weighted","pooling",0.5308,0
"295","288","IMPACT","classic","area",0.2623,3e-04
"296","288","OCCURRENCE","classic","area",0.3185,0
"297","288","IMPACT","classic","center",0.3182,0.0015
"298","288","OCCURRENCE","classic","center",0.2879,0.0048
"299","288","IMPACT","classic","centertogrid",0.1667,0.0966
"300","288","OCCURRENCE","classic","centertogrid",0.1667,0.0946
"301","288","IMPACT","classic","reachedgrid",0.1168,0.1926
"302","288","OCCURRENCE","classic","reachedgrid",0.1938,0.0175
"303","288","IMPACT","classic","weighted",0.2832,1e-04
"304","288","OCCURRENCE","classic","weighted",0.3153,0
"305","288","IMPACT","classic","pooling",0.5455,0
"306","288","OCCURRENCE","classic","pooling",0.5758,0
"307","288","IMPACT","area","center",0.1108,0.3994
"308","288","OCCURRENCE","area","center",0.0805,0.7953
"309","288","IMPACT","area","centertogrid",0.1885,0.0194
"310","288","OCCURRENCE","area","centertogrid",0.1973,0.0128
"311","288","IMPACT","area","reachedgrid",0.1693,0.001
"312","288","OCCURRENCE","area","reachedgrid",0.1438,0.0282
"313","288","IMPACT","area","weighted",0.0293,1e-04
"314","288","OCCURRENCE","area","weighted",0.0066,0.9967
"315","288","IMPACT","area","pooling",0.4894,0
"316","288","OCCURRENCE","area","pooling",0.6004,0
"317","288","IMPACT","center","centertogrid",0.2273,0.0496
"318","288","OCCURRENCE","center","centertogrid",0.1667,0.2631
"319","288","IMPACT","center","reachedgrid",0.2465,0.0038
"320","288","OCCURRENCE","center","reachedgrid",0.1795,0.0861
"321","288","IMPACT","center","weighted",0.0821,0.7653
"322","288","OCCURRENCE","center","weighted",0.0752,0.8496
"323","288","IMPACT","center","pooling",0.5,0
"324","288","OCCURRENCE","center","pooling",0.5909,0
"325","288","IMPACT","centertogrid","reachedgrid",0.0498,0.7923
"326","288","OCCURRENCE","centertogrid","reachedgrid",0.0726,0.6654
"327","288","IMPACT","centertogrid","weighted",0.1674,0.0495
"328","288","OCCURRENCE","centertogrid","weighted",0.1941,0.0139
"329","288","IMPACT","centertogrid","pooling",0.5303,0
"330","288","OCCURRENCE","centertogrid","pooling",0.5909,0
"331","288","IMPACT","reachedgrid","weighted",0.1724,7e-04
"332","288","OCCURRENCE","reachedgrid","weighted",0.147,0.0205
"333","288","IMPACT","reachedgrid","pooling",0.5111,0
"334","288","OCCURRENCE","reachedgrid","pooling",0.6038,0
"335","288","IMPACT","weighted","pooling",0.5147,0
"336","288","OCCURRENCE","weighted","pooling",0.5962,0
"337","289","IMPACT","classic","area",0.2421,7e-04
"338","289","OCCURRENCE","classic","area",0.2594,2e-04
"339","289","IMPACT","classic","center",0.2206,0.0539
"340","289","OCCURRENCE","classic","center",0.2941,0.0031
"341","289","IMPACT","classic","centertogrid",0.0441,0.9639
"342","289","OCCURRENCE","classic","centertogrid",0.1765,0.0737
"343","289","IMPACT","classic","reachedgrid",0.0763,0.949
"344","289","OCCURRENCE","classic","reachedgrid",0.1738,0.0432
"345","289","IMPACT","classic","weighted",0.1902,0.0146
"346","289","OCCURRENCE","classic","weighted",0.2736,1e-04
"347","289","IMPACT","classic","pooling",0.6912,0
"348","289","OCCURRENCE","classic","pooling",0.9118,0
"349","289","IMPACT","area","center",0.1139,0.3464
"350","289","OCCURRENCE","area","center",0.0919,0.624
"351","289","IMPACT","area","centertogrid",0.2371,0.001
"352","289","OCCURRENCE","area","centertogrid",0.2129,0.0047
"353","289","IMPACT","area","reachedgrid",0.1882,1e-04
"354","289","OCCURRENCE","area","reachedgrid",0.1882,9e-04
"355","289","IMPACT","area","weighted",0.0526,0
"356","289","OCCURRENCE","area","weighted",0.0147,0.3461
"357","289","IMPACT","area","pooling",0.7063,0
"358","289","OCCURRENCE","area","pooling",0.9158,0
"359","289","IMPACT","center","centertogrid",0.2647,0.0125
"360","289","OCCURRENCE","center","centertogrid",0.1912,0.1312
"361","289","IMPACT","center","reachedgrid",0.2254,0.0176
"362","289","OCCURRENCE","center","reachedgrid",0.1707,0.1063
"363","289","IMPACT","center","weighted",0.0701,0.8919
"364","289","OCCURRENCE","center","weighted",0.0782,0.7997
"365","289","IMPACT","center","pooling",0.647,0
"366","289","OCCURRENCE","center","pooling",0.9265,0
"367","289","IMPACT","centertogrid","reachedgrid",0.1021,0.7158
"368","289","OCCURRENCE","centertogrid","reachedgrid",0.0378,0.932
"369","289","IMPACT","centertogrid","weighted",0.2173,0.0032
"370","289","OCCURRENCE","centertogrid","weighted",0.203,0.0074
"371","289","IMPACT","centertogrid","pooling",0.6471,0
"372","289","OCCURRENCE","centertogrid","pooling",0.9265,0
"373","289","IMPACT","reachedgrid","weighted",0.1924,0
"374","289","OCCURRENCE","reachedgrid","weighted",0.1843,0.001
"375","289","IMPACT","reachedgrid","pooling",0.6959,0
"376","289","OCCURRENCE","reachedgrid","pooling",0.9375,0
"377","289","IMPACT","weighted","pooling",0.6641,0
"378","289","OCCURRENCE","weighted","pooling",0.9183,0
"379","290","IMPACT","classic","area",0.3602,0
"380","290","OCCURRENCE","classic","area",0.3523,0
"381","290","IMPACT","classic","center",0.2647,0.0107
"382","290","OCCURRENCE","classic","center",0.2647,0.0088
"383","290","IMPACT","classic","centertogrid",0.2059,0.0284
"384","290","OCCURRENCE","classic","centertogrid",0.1798,0.0537
"385","290","IMPACT","classic","reachedgrid",0.1886,0.0146
"386","290","OCCURRENCE","classic","reachedgrid",0.1867,0.0173
"387","290","IMPACT","classic","weighted",0.3251,0
"388","290","OCCURRENCE","classic","weighted",0.3177,0
"389","290","IMPACT","classic","pooling",0.7059,0
"390","290","OCCURRENCE","classic","pooling",0.75,0
"391","290","IMPACT","area","center",0.1213,0.2752
"392","290","OCCURRENCE","area","center",0.139,0.1502
"393","290","IMPACT","area","centertogrid",0.2214,0.0027
"394","290","OCCURRENCE","area","centertogrid",0.3013,0
"395","290","IMPACT","area","reachedgrid",0.1715,5e-04
"396","290","OCCURRENCE","area","reachedgrid",0.1921,4e-04
"397","290","IMPACT","area","weighted",0.0354,0
"398","290","OCCURRENCE","area","weighted",0.0388,0
"399","290","IMPACT","area","pooling",0.5688,0
"400","290","OCCURRENCE","area","pooling",0.5176,0
"401","290","IMPACT","center","centertogrid",0.2059,0.0859
"402","290","OCCURRENCE","center","centertogrid",0.3145,0.0015
"403","290","IMPACT","center","reachedgrid",0.2205,0.0097
"404","290","OCCURRENCE","center","reachedgrid",0.2265,0.0115
"405","290","IMPACT","center","weighted",0.0864,0.6909
"406","290","OCCURRENCE","center","weighted",0.1147,0.3328
"407","290","IMPACT","center","pooling",0.5294,0
"408","290","OCCURRENCE","center","pooling",0.5294,0
"409","290","IMPACT","centertogrid","reachedgrid",0.0736,0.5594
"410","290","OCCURRENCE","centertogrid","reachedgrid",0.1146,0.2553
"411","290","IMPACT","centertogrid","weighted",0.1918,0.0134
"412","290","OCCURRENCE","centertogrid","weighted",0.292,0
"413","290","IMPACT","centertogrid","pooling",0.5,0
"414","290","OCCURRENCE","centertogrid","pooling",0.597,0
"415","290","IMPACT","reachedgrid","weighted",0.1579,0.0014
"416","290","OCCURRENCE","reachedgrid","weighted",0.1774,0.0013
"417","290","IMPACT","reachedgrid","pooling",0.5172,0
"418","290","OCCURRENCE","reachedgrid","pooling",0.5897,0
"419","290","IMPACT","weighted","pooling",0.5372,0
"420","290","OCCURRENCE","weighted","pooling",0.4997,0
"421","291","IMPACT","classic","area",0.2243,0.0017
"422","291","OCCURRENCE","classic","area",0.3418,0
"423","291","IMPACT","classic","center",0.2535,0.0136
"424","291","OCCURRENCE","classic","center",0.3662,1e-04
"425","291","IMPACT","classic","centertogrid",0.0986,0.5016
"426","291","OCCURRENCE","classic","centertogrid",0.2394,0.0051
"427","291","IMPACT","classic","reachedgrid",0.0895,0.425
"428","291","OCCURRENCE","classic","reachedgrid",0.2435,0.0017
"429","291","IMPACT","classic","weighted",0.1921,0.0106
"430","291","OCCURRENCE","classic","weighted",0.3506,0
"431","291","IMPACT","classic","pooling",0.7183,0
"432","291","OCCURRENCE","classic","pooling",0.8028,0
"433","291","IMPACT","area","center",0.1011,0.4701
"434","291","OCCURRENCE","area","center",0.0557,0.9819
"435","291","IMPACT","area","centertogrid",0.2262,0.0015
