"","type","method1","method2","distance"
"1","IMPACT","classic","area",0.301155555555556
"2","OCCURRENCE","classic","area",0.3543
"3","IMPACT","area","center",0.127827777777778
"4","OCCURRENCE","area","center",0.0973388888888889
"5","IMPACT","classic","center",0.293038888888889
"6","OCCURRENCE","classic","center",0.322022222222222
"7","IMPACT","area","centertogrid",0.260283333333333
"8","OCCURRENCE","area","centertogrid",0.24385
"9","IMPACT","center","centertogrid",0.283616666666667
"10","OCCURRENCE","center","centertogrid",0.251372222222222
"11","IMPACT","classic","centertogrid",0.118694444444444
"12","OCCURRENCE","classic","centertogrid",0.197661111111111
"13","IMPACT","area","pooling",0.601322222222222
"14","OCCURRENCE","area","pooling",0.64155
"15","IMPACT","center","pooling",0.570244444444444
"16","OCCURRENCE","center","pooling",0.612783333333333
"17","IMPACT","centertogrid","pooling",0.618688888888889
"18","OCCURRENCE","centertogrid","pooling",0.659661111111111
"19","IMPACT","classic","pooling",0.694488888888889
"20","OCCURRENCE","classic","pooling",0.735788888888889
"21","IMPACT","reachedgrid","pooling",0.671666666666667
"22","OCCURRENCE","reachedgrid","pooling",0.714216666666667
"23","IMPACT","weighted","pooling",0.58195
"24","OCCURRENCE","weighted","pooling",0.623588888888889
"25","IMPACT","area","reachedgrid",0.19385
"26","OCCURRENCE","area","reachedgrid",0.182555555555556
"27","IMPACT","center","reachedgrid",0.256777777777778
"28","OCCURRENCE","center","reachedgrid",0.210694444444444
"29","IMPACT","centertogrid","reachedgrid",0.0941611111111111
"30","OCCURRENCE","centertogrid","reachedgrid",0.0812055555555556
"31","IMPACT","classic","reachedgrid",0.136166666666667
"32","OCCURRENCE","classic","reachedgrid",0.200916666666667
"33","IMPACT","area","weighted",0.0490166666666667
"34","OCCURRENCE","area","weighted",0.02755
"35","IMPACT","center","weighted",0.0862222222222222
"36","OCCURRENCE","center","weighted",0.0802055555555556
"37","IMPACT","centertogrid","weighted",0.243788888888889
"38","OCCURRENCE","centertogrid","weighted",0.234366666666667
"39","IMPACT","classic","weighted",0.277561111111111
"40","OCCURRENCE","classic","weighted",0.335583333333333
"41","IMPACT","reachedgrid","weighted",0.220155555555556
"42","OCCURRENCE","reachedgrid","weighted",0.184727777777778
