"","type","method1","method2","distance"
"1","IMPACT","classic","area",0.298045348837209
"2","OCCURRENCE","classic","area",0.328891860465116
"3","IMPACT","area","center",0.116977906976744
"4","OCCURRENCE","area","center",0.081843023255814
"5","IMPACT","classic","center",0.310303488372093
"6","OCCURRENCE","classic","center",0.332372093023256
"7","IMPACT","area","centertogrid",0.23723488372093
"8","OCCURRENCE","area","centertogrid",0.217541860465116
"9","IMPACT","center","centertogrid",0.249066279069767
"10","OCCURRENCE","center","centertogrid",0.22886511627907
"11","IMPACT","classic","centertogrid",0.13188488372093
"12","OCCURRENCE","classic","centertogrid",0.18048023255814
"13","IMPACT","area","pooling",0.600863953488372
"14","OCCURRENCE","area","pooling",0.57471976744186
"15","IMPACT","center","pooling",0.57586511627907
"16","OCCURRENCE","center","pooling",0.564275581395349
"17","IMPACT","centertogrid","pooling",0.605294186046512
"18","OCCURRENCE","centertogrid","pooling",0.61028488372093
"19","IMPACT","classic","pooling",0.66956511627907
"20","OCCURRENCE","classic","pooling",0.686370930232558
"21","IMPACT","reachedgrid","pooling",0.621567441860465
"22","OCCURRENCE","reachedgrid","pooling",0.611012790697674
"23","IMPACT","weighted","pooling",0.584547674418605
"24","OCCURRENCE","weighted","pooling",0.571905813953488
"25","IMPACT","area","reachedgrid",0.18525
"26","OCCURRENCE","area","reachedgrid",0.182052325581395
"27","IMPACT","center","reachedgrid",0.234260465116279
"28","OCCURRENCE","center","reachedgrid",0.198756976744186
"29","IMPACT","centertogrid","reachedgrid",0.0882616279069767
"30","OCCURRENCE","centertogrid","reachedgrid",0.0583267441860465
"31","IMPACT","classic","reachedgrid",0.1473
"32","OCCURRENCE","classic","reachedgrid",0.178168604651163
"33","IMPACT","area","weighted",0.041193023255814
"34","OCCURRENCE","area","weighted",0.0183848837209302
"35","IMPACT","center","weighted",0.0829872093023256
"36","OCCURRENCE","center","weighted",0.0709406976744186
"37","IMPACT","centertogrid","weighted",0.220396511627907
"38","OCCURRENCE","centertogrid","weighted",0.214975581395349
"39","IMPACT","classic","weighted",0.294267441860465
"40","OCCURRENCE","classic","weighted",0.327129069767442
"41","IMPACT","reachedgrid","weighted",0.197652325581395
"42","OCCURRENCE","reachedgrid","weighted",0.181918604651163
