"","scenario","type","method1","method2","distance","pValue"
"86","288","OCCURRENCE","classic","weighted",NA,0.0028894251193319
"87","288","IMPACT","area","weighted",NA,0.506651387574801
"88","288","OCCURRENCE","area","weighted",NA,0.544896076573146
"89","288","IMPACT","center","weighted",NA,0.642848623987169
"90","288","OCCURRENCE","center","weighted",NA,0.663146126937735
"91","288","IMPACT","centertogrid","weighted",NA,0.0988758537145775
"92","288","OCCURRENCE","centertogrid","weighted",NA,0.0955381365736903
"93","288","IMPACT","reachedgrid","weighted",NA,0.0262361534304346
"94","288","OCCURRENCE","reachedgrid","weighted",NA,0.0836532882298853
"95","288","IMPACT","pooling","weighted",NA,7.51118056641076e-15
"96","288","OCCURRENCE","pooling","weighted",NA,3.34143823721433e-16
"97","289","IMPACT","classic","weighted",NA,0.0438425641293286
"98","289","OCCURRENCE","classic","weighted",NA,0.0122624143643047
"99","289","IMPACT","area","weighted",NA,0.417013586420797
"100","289","OCCURRENCE","area","weighted",NA,0.539264241587301
"101","289","IMPACT","center","weighted",NA,0.653268433583962
"102","289","OCCURRENCE","center","weighted",NA,0.658981931507165
"103","289","IMPACT","centertogrid","weighted",NA,0.0516942641625336
"104","289","OCCURRENCE","centertogrid","weighted",NA,0.0753364061293933
"105","289","IMPACT","reachedgrid","weighted",NA,0.0398575081184488
"106","289","OCCURRENCE","reachedgrid","weighted",NA,0.0419314551722606
"107","289","IMPACT","pooling","weighted",NA,4.37760938609699e-17
"108","289","OCCURRENCE","pooling","weighted",NA,6.75892675161549e-16
"109","290","IMPACT","classic","weighted",NA,0.00480472076480412
"110","290","OCCURRENCE","classic","weighted",NA,0.00345436380386955
"111","290","IMPACT","area","weighted",NA,0.483871158241224
"112","290","OCCURRENCE","area","weighted",NA,0.474744529816976
"113","290","IMPACT","center","weighted",NA,0.572871079612297
"114","290","OCCURRENCE","center","weighted",NA,0.564592512411118
"115","290","IMPACT","centertogrid","weighted",NA,0.0675637782204294
"116","290","OCCURRENCE","centertogrid","weighted",NA,0.00937679315166682
"117","290","IMPACT","reachedgrid","weighted",NA,0.0373362725380545
"118","290","OCCURRENCE","reachedgrid","weighted",NA,0.0350976544502727
"119","290","IMPACT","pooling","weighted",NA,1.60640389879063e-15
"120","290","OCCURRENCE","pooling","weighted",NA,3.97348820513344e-17
"121","291","IMPACT","classic","weighted",NA,0.0390814225527974
"122","291","OCCURRENCE","classic","weighted",NA,0.00101016467947858
"123","291","IMPACT","area","weighted",NA,0.493474316240941
"124","291","OCCURRENCE","area","weighted",NA,0.53366871277253
"125","291","IMPACT","center","weighted",NA,0.648112358943093
"126","291","OCCURRENCE","center","weighted",NA,0.716749357843742
"127","291","IMPACT","centertogrid","weighted",NA,0.0583931558830182
"128","291","OCCURRENCE","centertogrid","weighted",NA,0.165421636165274
"129","291","IMPACT","reachedgrid","weighted",NA,0.0256644265138475
"130","291","OCCURRENCE","reachedgrid","weighted",NA,0.0811694440628366
"131","291","IMPACT","pooling","weighted",NA,3.13393755391189e-16
"132","291","OCCURRENCE","pooling","weighted",NA,3.12438963590012e-16
"133","292","IMPACT","classic","weighted",NA,0.0115902147723597
"134","292","OCCURRENCE","classic","weighted",NA,0.000210876883871935
"135","292","IMPACT","area","weighted",NA,0.40782056055254
"136","292","OCCURRENCE","area","weighted",NA,0.529663797796419
"137","292","IMPACT","center","weighted",NA,0.613693983151376
"138","292","OCCURRENCE","center","weighted",NA,0.671071109558597
"139","292","IMPACT","centertogrid","weighted",NA,0.00987419712922168
"140","292","OCCURRENCE","centertogrid","weighted",NA,0.0347435217740673
"141","292","IMPACT","reachedgrid","weighted",NA,0.00892031694981842
"142","292","OCCURRENCE","reachedgrid","weighted",NA,0.0378137674443565
"143","292","IMPACT","pooling","weighted",NA,4.17077483660933e-16
"144","292","OCCURRENCE","pooling","weighted",NA,3.70159458640273e-16
"145","293","IMPACT","classic","weighted",NA,0.018450831114569
"146","293","OCCURRENCE","classic","weighted",NA,0.00938379099545954
"147","293","IMPACT","area","weighted",NA,0.448161821071265
"148","293","OCCURRENCE","area","weighted",NA,0.522669245550465
"149","293","IMPACT","center","weighted",NA,0.611846101466321
"150","293","OCCURRENCE","center","weighted",NA,0.68203138462237
"151","293","IMPACT","centertogrid","weighted",NA,0.0516786060469802
"152","293","OCCURRENCE","centertogrid","weighted",NA,0.0302419050208214
"153","293","IMPACT","reachedgrid","weighted",NA,0.021959826477653
"154","293","OCCURRENCE","reachedgrid","weighted",NA,0.0327798908571222
"155","293","IMPACT","pooling","weighted",NA,3.38404559929728e-13
"156","293","OCCURRENCE","pooling","weighted",NA,2.55298193696518e-13
"157","294","IMPACT","classic","weighted",NA,0.00505193593472919
"158","294","OCCURRENCE","classic","weighted",NA,0.0141059893884573
"159","294","IMPACT","area","weighted",NA,0.364922163611449
"160","294","OCCURRENCE","area","weighted",NA,0.484806346432907
"161","294","IMPACT","center","weighted",NA,0.597327206494421
"162","294","OCCURRENCE","center","weighted",NA,0.555470306893775
"163","294","IMPACT","centertogrid","weighted",NA,0.0301271072722502
"164","294","OCCURRENCE","centertogrid","weighted",NA,0.00145306206751185
"165","294","IMPACT","reachedgrid","weighted",NA,0.00865424590754331
"166","294","OCCURRENCE","reachedgrid","weighted",NA,0.00891247509866159
"167","294","IMPACT","pooling","weighted",NA,6.71861455359135e-15
"168","294","OCCURRENCE","pooling","weighted",NA,7.58578755366557e-15
"169","295","IMPACT","classic","weighted",NA,0.000795527899637996
"170","295","OCCURRENCE","classic","weighted",NA,0.000429279132984943
"171","295","IMPACT","area","weighted",NA,0.427172465463495
"172","295","OCCURRENCE","area","weighted",NA,0.533791400328526
"173","295","IMPACT","center","weighted",NA,0.586007811259995
"174","295","OCCURRENCE","center","weighted",NA,0.674656512597528
"175","295","IMPACT","centertogrid","weighted",NA,0.0322925141224452
"176","295","OCCURRENCE","centertogrid","weighted",NA,0.0454026840174517
"177","295","IMPACT","reachedgrid","weighted",NA,0.0153796511869312
"178","295","OCCURRENCE","reachedgrid","weighted",NA,0.0114825811479341
"179","295","IMPACT","pooling","weighted",NA,2.76290101908216e-16
"180","295","OCCURRENCE","pooling","weighted",NA,8.25672863413729e-17
"181","296","IMPACT","classic","weighted",NA,0.0111416243721132
"182","296","OCCURRENCE","classic","weighted",NA,0.00403346166556332
"183","296","IMPACT","area","weighted",NA,0.429359616024907
"184","296","OCCURRENCE","area","weighted",NA,0.516184876423565
"185","296","IMPACT","center","weighted",NA,0.551272070566566
"186","296","OCCURRENCE","center","weighted",NA,0.738792828468014
"187","296","IMPACT","centertogrid","weighted",NA,0.0201614965026757
"188","296","OCCURRENCE","centertogrid","weighted",NA,0.148635122595674
"189","296","IMPACT","reachedgrid","weighted",NA,0.042463896639306
"190","296","OCCURRENCE","reachedgrid","weighted",NA,0.0553923081342691
"191","296","IMPACT","pooling","weighted",NA,2.20934381900406e-18
"192","296","OCCURRENCE","pooling","weighted",NA,4.59865479029986e-16
"193","297","IMPACT","classic","weighted",NA,0.047460017182859
"194","297","OCCURRENCE","classic","weighted",NA,0.00375760571471548
"195","297","IMPACT","area","weighted",NA,0.467090386506293
"196","297","OCCURRENCE","area","weighted",NA,0.500591078878545
"197","297","IMPACT","center","weighted",NA,0.654578000338936
"198","297","OCCURRENCE","center","weighted",NA,0.660696674024078
"199","297","IMPACT","centertogrid","weighted",NA,0.0174282007085067
"200","297","OCCURRENCE","centertogrid","weighted",NA,0.0227661537983355
"201","297","IMPACT","reachedgrid","weighted",NA,0.0251986967911042
"202","297","OCCURRENCE","reachedgrid","weighted",NA,0.0401056137031367
"203","297","IMPACT","pooling","weighted",NA,4.10782519111308e-19
"204","297","OCCURRENCE","pooling","weighted",NA,7.96829269233967e-16
"205","298","IMPACT","classic","weighted",NA,0.0313518251527715
"206","298","OCCURRENCE","classic","weighted",NA,0.000143891359470175
"207","298","IMPACT","area","weighted",NA,0.522136687291654
"208","298","OCCURRENCE","area","weighted",NA,0.452783570004284
"209","298","IMPACT","center","weighted",NA,0.670378859811814
"210","298","OCCURRENCE","center","weighted",NA,0.668250299809519
"211","298","IMPACT","centertogrid","weighted",NA,0.0814270413649706
"212","298","OCCURRENCE","centertogrid","weighted",NA,0.00414841990723627
"213","298","IMPACT","reachedgrid","weighted",NA,0.0671722741583364
"214","298","OCCURRENCE","reachedgrid","weighted",NA,0.00547770790152484
"215","298","IMPACT","pooling","weighted",NA,2.17057483098415e-15
"216","298","OCCURRENCE","pooling","weighted",NA,1.23179244582161e-16
"217","299","IMPACT","classic","weighted",NA,0.00869398913382862
"218","299","OCCURRENCE","classic","weighted",NA,0.00856690437869668
"219","299","IMPACT","area","weighted",NA,0.446339946176569
"220","299","OCCURRENCE","area","weighted",NA,0.548752386929249
"221","299","IMPACT","center","weighted",NA,0.616082405530276
"222","299","OCCURRENCE","center","weighted",NA,0.724610010169307
"223","299","IMPACT","centertogrid","weighted",NA,0.045527306748016
"224","299","OCCURRENCE","centertogrid","weighted",NA,0.106282999360402
"225","299","IMPACT","reachedgrid","weighted",NA,0.0416802830750817
"226","299","OCCURRENCE","reachedgrid","weighted",NA,0.0609932470782109
"227","299","IMPACT","pooling","weighted",NA,1.26465504735052e-16
"228","299","OCCURRENCE","pooling","weighted",NA,1.49447121344792e-16
"229","300","IMPACT","classic","weighted",NA,0.00153223095651721
"230","300","OCCURRENCE","classic","weighted",NA,0.00518093578926201
"231","300","IMPACT","area","weighted",NA,0.369496467620469
"232","300","OCCURRENCE","area","weighted",NA,0.51663281714557
"233","300","IMPACT","center","weighted",NA,0.563768129249545
"234","300","OCCURRENCE","center","weighted",NA,0.701531006742122
"235","300","IMPACT","centertogrid","weighted",NA,0.0436712095322249
"236","300","OCCURRENCE","centertogrid","weighted",NA,0.0442819921320453
"237","300","IMPACT","reachedgrid","weighted",NA,0.0313538322069057
"238","300","OCCURRENCE","reachedgrid","weighted",NA,0.0329012830375611
"239","300","IMPACT","pooling","weighted",NA,0
"240","300","OCCURRENCE","pooling","weighted",NA,1.78967951569575e-16
"241","301","IMPACT","classic","weighted",NA,0.0157656550671121
"242","301","OCCURRENCE","classic","weighted",NA,0.0328194873505554
"243","301","IMPACT","area","weighted",NA,0.508508367660997
"244","301","OCCURRENCE","area","weighted",NA,0.529803677695071
"245","301","IMPACT","center","weighted",NA,0.65376368883008
"246","301","OCCURRENCE","center","weighted",NA,0.711481410680082
"247","301","IMPACT","centertogrid","weighted",NA,0.0422375335266328
"248","301","OCCURRENCE","centertogrid","weighted",NA,0.0211402480690495
"249","301","IMPACT","reachedgrid","weighted",NA,0.0401246491024535
"250","301","OCCURRENCE","reachedgrid","weighted",NA,0.0299099725185693
"251","301","IMPACT","pooling","weighted",NA,3.3699709689472e-16
"252","301","OCCURRENCE","pooling","weighted",NA,4.55357973550008e-16
"253","302","IMPACT","classic","weighted",NA,0.00769633558218641
"254","302","OCCURRENCE","classic","weighted",NA,0.0151326804727757
"255","302","IMPACT","area","weighted",NA,0.508475831740211
"256","302","OCCURRENCE","area","weighted",NA,0.527689546986299
"257","302","IMPACT","center","weighted",NA,0.707351972838707
"258","302","OCCURRENCE","center","weighted",NA,0.713955086591809
"259","302","IMPACT","centertogrid","weighted",NA,0.0920293788501585
"260","302","OCCURRENCE","centertogrid","weighted",NA,0.071665929270536
"261","302","IMPACT","reachedgrid","weighted",NA,0.058519775412785
"262","302","OCCURRENCE","reachedgrid","weighted",NA,0.0447585868834405
"263","302","IMPACT","pooling","weighted",NA,4.51427784042835e-16
"264","302","OCCURRENCE","pooling","weighted",NA,1.56175072874021e-16
"265","303","IMPACT","classic","weighted",NA,0.0134000211505727
"266","303","OCCURRENCE","classic","weighted",NA,0.0273303236943676
"267","303","IMPACT","area","weighted",NA,0.320675798671264
"268","303","OCCURRENCE","area","weighted",NA,0.542737923702718
"269","303","IMPACT","center","weighted",NA,0.564623080998725
"270","303","OCCURRENCE","center","weighted",NA,0.736629467902648
"271","303","IMPACT","centertogrid","weighted",NA,0.0218472035800828
"272","303","OCCURRENCE","centertogrid","weighted",NA,0.137050116415807
"273","303","IMPACT","reachedgrid","weighted",NA,0.0171665396064287
"274","303","OCCURRENCE","reachedgrid","weighted",NA,0.0604484464248043
"275","303","IMPACT","pooling","weighted",NA,9.15933995315754e-18
"276","303","OCCURRENCE","pooling","weighted",NA,9.33364496802369e-17
"277","304","IMPACT","classic","weighted",NA,0.00401276777748319
"278","304","OCCURRENCE","classic","weighted",NA,0.0036025549700571
"279","304","IMPACT","area","weighted",NA,0.517205398632018
"280","304","OCCURRENCE","area","weighted",NA,0.544855660542257
"281","304","IMPACT","center","weighted",NA,0.650066745498344
"282","304","OCCURRENCE","center","weighted",NA,0.736238242991079
"283","304","IMPACT","centertogrid","weighted",NA,0.0373854295967958
"284","304","OCCURRENCE","centertogrid","weighted",NA,0.0932424631395376
"285","304","IMPACT","reachedgrid","weighted",NA,0.0584377189923789
"286","304","OCCURRENCE","reachedgrid","weighted",NA,0.0515138628131075
"287","304","IMPACT","pooling","weighted",NA,2.48878695430221e-16
"288","304","OCCURRENCE","pooling","weighted",NA,2.45736764270532e-16
"289","305","IMPACT","classic","weighted",NA,0.0037289940518457
"290","305","OCCURRENCE","classic","weighted",NA,0.000802969217396953
"291","305","IMPACT","area","weighted",NA,0.443719454089306
"292","305","OCCURRENCE","area","weighted",NA,0.544207099831738
"293","305","IMPACT","center","weighted",NA,0.637818974008779
"294","305","OCCURRENCE","center","weighted",NA,0.662676086173059
"295","305","IMPACT","centertogrid","weighted",NA,0.0600204658920943
"296","305","OCCURRENCE","centertogrid","weighted",NA,0.00584138073041325
"297","305","IMPACT","reachedgrid","weighted",NA,0.0488003343256641
"298","305","OCCURRENCE","reachedgrid","weighted",NA,0.00913822054624119
"299","305","IMPACT","pooling","weighted",NA,2.33191244092268e-16
"300","305","OCCURRENCE","pooling","weighted",NA,1.36379796344954e-16
"301","306","IMPACT","classic","weighted",NA,0.00244203786909673
"302","306","OCCURRENCE","classic","weighted",NA,0.00016979808708564
"303","306","IMPACT","area","weighted",NA,0.339715610028101
"304","306","OCCURRENCE","area","weighted",NA,0.520286153053678
"305","306","IMPACT","center","weighted",NA,0.584979281285464
"306","306","OCCURRENCE","center","weighted",NA,0.739553802946513
"307","306","IMPACT","centertogrid","weighted",NA,0.0325145319125551
"308","306","OCCURRENCE","centertogrid","weighted",NA,0.0421480388517986
"309","306","IMPACT","reachedgrid","weighted",NA,0.0160903152649672
"310","306","OCCURRENCE","reachedgrid","weighted",NA,0.0126834295642337
"311","306","IMPACT","pooling","weighted",NA,9.62074864219176e-16
"312","306","OCCURRENCE","pooling","weighted",NA,5.13811215796522e-17
"313","307","IMPACT","classic","weighted",NA,0.00262459656140482
"314","307","OCCURRENCE","classic","weighted",NA,0.0195992270192775
"315","307","IMPACT","area","weighted",NA,0.413396220866898
"316","307","OCCURRENCE","area","weighted",NA,0.541045283073212
