"","scenario","type","method1","method2","distance","pValue"
"86","295","OCCURRENCE","classic","weighted",NA,0.000426272577551022
"87","295","IMPACT","area","weighted",NA,0.423602630349948
"88","295","OCCURRENCE","area","weighted",NA,0.538647950193745
"89","295","IMPACT","center","weighted",NA,0.589421634927835
"90","295","OCCURRENCE","center","weighted",NA,0.681117677051964
"91","295","IMPACT","centertogrid","weighted",NA,0.0321050502098642
"92","295","OCCURRENCE","centertogrid","weighted",NA,0.045385136024872
"93","295","IMPACT","reachedgrid","weighted",NA,0.0149868915060335
"94","295","OCCURRENCE","reachedgrid","weighted",NA,0.0116742167488815
"95","295","IMPACT","pooling","weighted",NA,2.95952151674328e-16
"96","295","OCCURRENCE","pooling","weighted",NA,8.22453216642316e-17
"97","296","IMPACT","classic","weighted",NA,0.0110783756644993
"98","296","OCCURRENCE","classic","weighted",NA,0.00401081271957511
"99","296","IMPACT","area","weighted",NA,0.424225202290683
"100","296","OCCURRENCE","area","weighted",NA,0.514415189149745
"101","296","IMPACT","center","weighted",NA,0.556816413736545
"102","296","OCCURRENCE","center","weighted",NA,0.734874317442878
"103","296","IMPACT","centertogrid","weighted",NA,0.0204455524696032
"104","296","OCCURRENCE","centertogrid","weighted",NA,0.148713451641112
"105","296","IMPACT","reachedgrid","weighted",NA,0.0422086395983324
"106","296","OCCURRENCE","reachedgrid","weighted",NA,0.0547749604105666
"107","296","IMPACT","pooling","weighted",NA,9.99200722162641e-19
"108","296","OCCURRENCE","pooling","weighted",NA,4.39814851205256e-16
"109","298","IMPACT","classic","weighted",NA,0.0314962223858018
"110","298","OCCURRENCE","classic","weighted",NA,0.000154647987562669
"111","298","IMPACT","area","weighted",NA,0.519809322312881
"112","298","OCCURRENCE","area","weighted",NA,0.458403440168408
"113","298","IMPACT","center","weighted",NA,0.669459168665247
"114","298","OCCURRENCE","center","weighted",NA,0.669676722145811
"115","298","IMPACT","centertogrid","weighted",NA,0.0815200224341272
"116","298","OCCURRENCE","centertogrid","weighted",NA,0.00411193844771539
"117","298","IMPACT","reachedgrid","weighted",NA,0.068457350976376
