""	"ACC2SURV_ACCID"	"ANS2SURV_ID"	"IMPACT"	"OCCURRENCE"	"X1PCT"	"Y1PCT"	"X2PCT"	"Y2PCT"	"QUES2SURV_QUESID"	"QUES2SURV_METHOD"	"X1Pixel"	"X2Pixel"	"Y1Pixel"	"Y2Pixel"	"ClassicGrid"	"getlowx"	"gethighx"	"getlowy"	"gethighy"	"hitOcc"	"hitImp"
"39"	346	139327	3	3	"21.25"	"81"	"28.75"	"84"	363	"classic"	85	115	324	336	"Grid44"	2	2	1	1	FALSE	FALSE
"40"	346	139328	2	5	"21,25"	"81"	"28,75"	"84"	363	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"41"	346	139329	NA	NA	""	""	""	""	364	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"42"	346	139330	NA	NA	""	""	""	""	364	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"43"	346	139331	4	4	"53.75"	"30.25"	"58"	"35"	365	"classic"	215	232	121	140	"Grid44"	3	3	4	4	FALSE	TRUE
"44"	346	139332	3	2	"53,75"	"30,25"	"58"	"35"	365	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"45"	346	139333	NA	NA	""	""	""	""	366	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"46"	346	139334	NA	NA	""	""	""	""	366	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"47"	346	139335	NA	NA	""	""	""	""	297	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"48"	346	139336	NA	NA	""	""	""	""	297	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"49"	346	139337	NA	NA	""	""	""	""	298	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"50"	346	139338	NA	NA	""	""	""	""	298	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"51"	346	139339	2	4	"17.75"	"82"	"23.25"	"84.75"	281	"classic"	71	93	328	339	"Grid44"	1	2	1	1	FALSE	FALSE
"52"	346	139340	2	5	"17,75"	"82"	"23,25"	"84,75"	281	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
