"","IMPACT","OCCURRENCE"
"min",2.5,0.5
"q1",52.75,54.25
"median",68.25,71.75
"mean",64.913080495356,66.8991926047274
"q3",82,85.5
"max",100,100
"iqr",29.25,31.25
