"","IMPACT","OCCURRENCE"
"min",0,0.5
"q1",42.25,36.375
"median",58.75,56
"mean",56.8117655699177,53.6783413848631
"q3",72.75,71.75
"max",99.5,99.25
"iqr",30.5,35.375
