"","IMPACT","OCCURRENCE"
"min",2,0
"q1",44.25,29
"median",59.25,51.25
"mean",59.4012280701754,49.0942340791738
"q3",77.5,67.75
"max",100,97.25
"iqr",33.25,38.75
