"","IMPACT","OCCURRENCE"
"min",2,0.25
"q1",41.25,32.5625
"median",56.5,49.5
"mean",55.2914091886083,49.044289044289
"q3",70.25,63
"max",100,99.75
"iqr",29,30.4375
