"","IMPACT","OCCURRENCE"
"min",0.25,0
"q1",39.5,35.75
"median",53.75,54.5
"mean",53.7697368421053,53.2386719565671
"q3",69.75,72.5
"max",100,100
"iqr",30.25,36.75
