"","IMPACT","OCCURRENCE"
"min",0,0
"q1",29.5625,14.9375
"median",48.25,26
"mean",49.151198574668,32.6968142548596
"q3",67.25,48
"max",100,98.5
"iqr",37.6875,33.0625
