"","IMPACT","OCCURRENCE"
"min",0.25,0.25
"q1",43.5,15.5
"median",66,26.25
"mean",61.3686623142103,32.0459770114943
"q3",81.25,46.75
"max",100,98.25
"iqr",37.75,31.25
