"","IMPACT","OCCURRENCE"
"min",0.25,0.25
"q1",39.5,30.75
"median",56.75,49.75
"mean",56.4314648409642,51.3898822996831
"q3",75.75,74
"max",100,99.5
"iqr",36.25,43.25
