"","IMPACT","OCCURRENCE"
"min",1.5,0.75
"q1",45.75,29
"median",60.875,45.375
"mean",59.6988672622846,45.603323699422
"q3",75.25,60.6875
"max",99.75,98.5
"iqr",29.5,31.6875
