"","IMPACT","OCCURRENCE"
"min",0.75,0.5
"q1",49.75,20.5
"median",73.5,37.25
"mean",66.9990884868882,37.6048594847775
"q3",87,51
"max",100,99.75
"iqr",37.25,30.5
