"","IMPACT","OCCURRENCE"
"min",1.25,0
"q1",50,42.25
"median",72.5,64.25
"mean",66.1846055211948,60.1824181117534
"q3",85.5,81.5
"max",100,100
"iqr",35.5,39.25
