"","IMPACT","OCCURRENCE"
"min",0,0.75
"q1",43.75,38.25
"median",60.5,52.25
"mean",58.9505658500187,53.0717678645188
"q3",76.25,68.5
"max",100,99.5
"iqr",32.5,30.25
