"","IMPACT","OCCURRENCE"
"min",1.5,1
"q1",42.75,47
"median",58.5,60.75
"mean",58.3654512635379,59.3438054078014
"q3",77.25,80.75
"max",100,100
"iqr",34.5,33.75
