"","IMPACT","OCCURRENCE"
"min",0,1.5
"q1",47.25,37.125
"median",63.5,49.75
"mean",61.1571937321937,50.2871108343711
"q3",77,65
"max",99.5,99
"iqr",29.75,27.875
