"","IMPACT","OCCURRENCE"
"min",0,0.75
"q1",33.75,37.75
"median",49.25,56
"mean",49.2640143973043,54.5136863361005
"q3",63.25,74.5
"max",99.75,97.75
"iqr",29.5,36.75
