"","IMPACT","OCCURRENCE"
"min",1.5,1.5
"q1",59.25,46.75
"median",75.75,60.75
"mean",70.4007872965039,61.1638524865591
"q3",86.5,79.25
"max",100,100
"iqr",27.25,32.5
