"","IMPACT","OCCURRENCE"
"min",0,0.5
"q1",43.5,28
"median",60.5,47.75
"mean",59.7093158760625,47.6640710682167
"q3",78,66.25
"max",100,96.75
"iqr",34.5,38.25
