"","IMPACT","OCCURRENCE"
"min",2.25,0.25
"q1",42.25,35.5
"median",60.25,52.25
"mean",58.151407870904,51.8911875335841
"q3",76.5,70.75
"max",100,99
"iqr",34.25,35.25
