"","IMPACT","OCCURRENCE"
"min",0.25,0.25
"q1",38.5,29.375
"median",55.5,51
"mean",54.5495609823021,49.1239028045386
"q3",72,66
"max",100,98.25
"iqr",33.5,36.625
