"","IMPACT","OCCURRENCE"
"min",0,1.25
"q1",28.25,50.25
"median",45.5,67.5
"mean",46.5715653621982,64.3397718434016
"q3",61.75,82.75
"max",99.25,100
"iqr",33.5,32.5
