"","IMPACT","OCCURRENCE"
"min",0,1.25
"q1",51.25,27.25
"median",70.5,46.25
"mean",66.2537271049269,46.6455026455026
"q3",84.5,63.5
"max",100,99.25
"iqr",33.25,36.25
