"","IMPACT","OCCURRENCE"
"min",1.25,1.25
"q1",44.5,28.25
"median",59.5,44.5
"mean",59.4515790357803,45.0860201186484
"q3",77.5,59.25
"max",100,98.75
"iqr",33,31
