"","IMPACT","OCCURRENCE"
"min",0,1.25
"q1",49.75,37.75
"median",66.75,51.75
"mean",64.0750031044331,53.8591853528081
"q3",81.25,71.75
"max",100,99.75
"iqr",31.5,34
