"","IMPACT","OCCURRENCE"
"min",1.75,0.5
"q1",47.5,21.5
"median",66.5,43.5
"mean",62.8664694551458,42.2418053141296
"q3",81.5,57.5
"max",100,98.25
"iqr",34,36
