"","IMPACT","OCCURRENCE"
"min",1.75,0
"q1",42.75,24.4375
"median",62.5,44.75
"mean",59.7804624577812,46.1785714285714
"q3",77.9375,65.5
"max",100,99.25
"iqr",35.1875,41.0625
