"","IMPACT","OCCURRENCE"
"min",1.25,0.5
"q1",48.75,49
"median",66.25,63.5
"mean",63.9117667404538,62.6851455915292
"q3",82.5,81.25
"max",100,100
"iqr",33.75,32.25
