"","IMPACT","OCCURRENCE"
"min",0.75,1.75
"q1",52.75,34
"median",70.75,50.5
"mean",67.0553438024089,49.9757419354839
"q3",84,66.5
"max",100,98
"iqr",31.25,32.5
