"","IMPACT","OCCURRENCE"
"min",0.75,1
"q1",35.75,41.5
"median",53,59.5
"mean",53.5174912375303,56.0785616905249
"q3",72.5,74.75
"max",100,98.5
"iqr",36.75,33.25
