"","IMPACT","OCCURRENCE"
"min",0.75,0
"q1",44.25,21.5
"median",60.25,41.75
"mean",59.5622634898388,42.8479771655498
"q3",77.75,60.75
"max",100,98
"iqr",33.5,39.25
