"","IMPACT","OCCURRENCE"
"min",3,1
"q1",49.5,34.5
"median",63.5,50.25
"mean",62.4656704361874,50.1409896283492
"q3",77.75,65
"max",99.75,98.75
"iqr",28.25,30.5
