"","IMPACT","OCCURRENCE"
"min",1.75,2
"q1",54.75,48.25
"median",70.25,73.25
"mean",66.0984255248251,64.7471040320784
"q3",83.5,85.25
"max",100,100
"iqr",28.75,37
