"","IMPACT","OCCURRENCE"
"min",1,1
"q1",50.5,48.25
"median",66.25,63.5
"mean",63.8218714412249,61.9583075972823
"q3",79.75,78.5
"max",100,100
"iqr",29.25,30.25
