"","IMPACT","OCCURRENCE"
"min",0.75,0
"q1",50.75,19.25
"median",72.25,35.25
"mean",66.8044836311877,38.4721634488231
"q3",86.5,54.25
"max",100,99
"iqr",35.75,35
